#subject	block	trial	condition	setsize	change	time	responses	time	Pic	prev_condition	prev_setsize	prev_change	prev_time
212	1	1	1	6	0	2000	201	4291	NoChange	0	0	0	
212	1	2	1	2	1	2000	202	1492	9	1	6	0	2000
212	1	3	4	2	1	2000	202	2396	1	1	2	1	2000
212	1	4	2	2	0	2000	201	816	NoChange	4	2	1	2000
212	1	5	4	6	1	2000	202	2539	2	2	2	0	2000
212	1	6	2	4	0	2000	201	1465	NoChange	4	6	1	2000
212	1	7	1	6	1	2000	202	1578	28	2	4	0	2000
212	1	8	4	2	0	2000	201	1135	NoChange	1	6	1	2000
212	1	9	1	6	0	2000	201	1389	NoChange	4	2	0	2000
212	1	10	2	6	0	2000	201	1353	NoChange	1	6	0	2000
212	1	11	1	4	1	2000	202	1966	47	2	6	0	2000
212	1	12	3	4	0	2000	201	1387	NoChange	1	4	1	2000
212	1	13	3	2	1	2000	202	1880	1	3	4	0	2000
212	1	14	3	2	0	2000	201	1456	NoChange	3	2	1	2000
212	1	15	1	2	1	2000	202	1370	57	3	2	0	2000
212	1	16	3	2	1	2000	211	1383	2	1	2	1	2000
212	1	17	3	6	0	2000	201	1283	NoChange	3	2	1	2000
212	1	18	4	4	1	2000	211	1427	3	3	6	0	2000
212	1	19	3	2	0	2000	201	1030	NoChange	4	4	1	2000
212	1	20	2	4	1	2000	202	1840	1	3	2	0	2000
212	1	21	1	4	1	2000	202	1122	77	2	4	1	2000
212	1	22	2	6	1	2000	211	1665	2	1	4	1	2000
212	1	23	3	6	1	2000	202	2378	3	2	6	1	2000
212	1	24	1	2	0	2000	201	2959	NoChange	3	6	1	2000
212	1	25	3	4	0	2000	201	7381	NoChange	1	2	0	2000
212	1	26	4	6	0	2000	212	3828	NoChange	3	4	0	2000
212	1	27	3	4	1	2000	211	2735	4	4	6	0	2000
212	1	28	2	6	0	2000	201	1462	NoChange	3	4	1	2000
212	1	29	2	4	0	2000	201	1151	NoChange	2	6	0	2000
212	1	30	2	2	1	2000	202	1677	3	2	4	0	2000
212	1	31	4	4	1	2000	202	2373	4	2	2	1	2000
212	1	32	1	4	0	2000	201	1779	NoChange	4	4	1	2000
212	1	33	2	6	1	2000	211	2392	4	1	4	0	2000
212	1	34	3	6	1	2000	202	3444	5	2	6	1	2000
212	1	35	3	6	0	2000	201	1983	NoChange	3	6	1	2000
212	1	36	4	6	1	2000	202	2531	5	3	6	0	2000
212	1	37	1	6	1	2000	202	1266	148	4	6	1	2000
212	1	38	4	2	1	2000	202	1530	6	1	6	1	2000
212	1	39	1	2	0	2000	201	3585	NoChange	4	2	1	2000
212	1	40	4	2	0	2000	201	1150	NoChange	1	2	0	2000
212	1	41	4	4	0	2000	201	1251	NoChange	4	2	0	2000
212	1	42	4	6	0	2000	201	2101	NoChange	4	4	0	2000
212	1	43	2	2	1	2000	202	1373	5	4	6	0	2000
212	1	44	2	2	0	2000	201	1073	NoChange	2	2	1	2000
212	1	45	3	4	1	2000	211	1306	6	2	2	0	2000
212	1	46	1	4	0	2000	201	1001	NoChange	3	4	1	2000
212	1	47	4	4	0	2000	201	1213	NoChange	1	4	0	2000
212	1	48	2	4	1	2000	202	1608	6	4	4	0	2000
212	2	1	3	6	0	2000	212	4757	NoChange	0	0	0	
212	2	2	4	4	0	2000	201	2499	NoChange	3	6	0	2000
212	2	3	3	6	0	2000	201	1179	NoChange	4	4	0	2000
212	2	4	2	4	0	2000	201	1000	NoChange	3	6	0	2000
212	2	5	4	2	1	2000	202	1507	7	2	4	0	2000
212	2	6	2	2	1	2000	211	1275	7	4	2	1	2000
212	2	7	4	4	1	2000	202	2795	8	2	2	1	2000
212	2	8	2	6	0	2000	201	2368	NoChange	4	4	1	2000
212	2	9	3	2	1	2000	202	1613	7	2	6	0	2000
212	2	10	2	6	1	2000	211	1193	8	3	2	1	2000
212	2	11	4	4	0	2000	201	1893	NoChange	2	6	1	2000
212	2	12	3	4	1	2000	211	1565	8	4	4	0	2000
212	2	13	4	2	1	2000	202	1138	9	3	4	1	2000
212	2	14	4	2	0	2000	201	1392	NoChange	4	2	1	2000
212	2	15	1	4	0	2000	201	1420	NoChange	4	2	0	2000
212	2	16	1	2	1	2000	202	1326	234	1	4	0	2000
212	2	17	2	2	0	2000	201	1029	NoChange	1	2	1	2000
212	2	18	1	4	1	2000	202	1360	241	2	2	0	2000
212	2	19	4	2	0	2000	201	1133	NoChange	1	4	1	2000
212	2	20	3	6	1	2000	211	3299	9	4	2	0	2000
212	2	21	2	6	0	2000	201	1395	NoChange	3	6	1	2000
212	2	22	2	4	1	2000	202	2503	9	2	6	0	2000
212	2	23	3	2	0	2000	201	6031	NoChange	2	4	1	2000
212	2	24	3	4	1	2000	202	4291	10	3	2	0	2000
212	2	25	1	2	0	2000	201	4452	NoChange	3	4	1	2000
212	2	26	1	6	1	2000	202	1463	271	1	2	0	2000
212	2	27	4	6	0	2000	201	3121	NoChange	1	6	1	2000
212	2	28	4	4	1	2000	211	1528	10	4	6	0	2000
212	2	29	3	6	1	2000	211	2919	11	4	4	1	2000
212	2	30	3	2	1	2000	202	1070	12	3	6	1	2000
212	2	31	1	2	0	2000	201	1487	NoChange	3	2	1	2000
212	2	32	1	6	1	2000	211	1175	295	1	2	0	2000
212	2	33	3	2	0	2000	212	3156	NoChange	1	6	1	2000
212	2	34	2	6	1	2000	211	1530	10	3	2	0	2000
212	2	35	2	4	1	2000	211	1336	11	2	6	1	2000
212	2	36	2	2	1	2000	202	1310	12	2	4	1	2000
212	2	37	1	6	0	2000	201	1054	NoChange	2	2	1	2000
