#subject	block	trial	condition	setsize	change	time	responses	time	Pic	prev_condition	prev_setsize	prev_change	prev_time
103	1	1	1	6	0	2000	201	1501	NoChange	0	0	0	
103	1	2	2	4	0	2000	201	2629	NoChange	1	6	0	2000
103	1	3	1	2	0	2000	201	1265	NoChange	2	4	0	2000
103	1	4	4	4	1	2000	202	1209	1	1	2	0	2000
103	1	5	2	6	1	2000	211	3173	1	4	4	1	2000
103	1	6	4	6	0	2000	212	3348	NoChange	2	6	1	2000
103	1	7	4	4	0	2000	201	2130	NoChange	4	6	0	2000
103	1	8	3	4	0	2000	201	3409	NoChange	4	4	0	2000
103	1	9	4	2	0	2000	201	1260	NoChange	3	4	0	2000
103	1	10	4	6	1	2000	202	2286	2	4	2	0	2000
103	1	11	3	6	0	2000	201	1544	NoChange	4	6	1	2000
103	1	12	1	4	1	2000	202	2638	52	3	6	0	2000
103	1	13	2	6	1	2000	211	2794	2	1	4	1	2000
103	1	14	3	4	1	2000	202	1039	1	2	6	1	2000
103	1	15	2	2	1	2000	202	3776	3	3	4	1	2000
103	1	16	2	4	1	2000	211	5431	4	2	2	1	2000
103	1	17	4	2	1	2000	202	1035	3	2	4	1	2000
103	1	18	2	4	1	2000	202	940	5	4	2	1	2000
103	1	19	3	6	1	2000	202	2524	2	2	4	1	2000
103	1	20	1	6	1	2000	202	1018	80	3	6	1	2000
103	1	21	3	6	0	2000	201	1157	NoChange	1	6	1	2000
103	1	22	4	2	1	2000	202	1019	4	3	6	0	2000
103	1	23	4	4	1	2000	202	870	5	4	2	1	2000
103	1	24	2	2	1	2000	202	2160	6	4	4	1	2000
103	1	25	1	6	1	2000	202	2030	98	2	2	1	2000
103	1	26	1	4	0	2000	212	2474	NoChange	1	6	1	2000
103	1	27	3	2	0	2000	201	1147	NoChange	1	4	0	2000
103	1	28	3	2	1	2000	202	1272	3	3	2	0	2000
103	1	29	4	6	0	2000	201	1193	NoChange	3	2	1	2000
103	1	30	1	2	1	2000	202	981	114	4	6	0	2000
103	1	31	3	2	1	2000	202	2017	4	1	2	1	2000
103	1	32	1	2	1	2000	202	1707	118	3	2	1	2000
103	1	33	3	6	1	2000	202	1012	5	1	2	1	2000
103	1	34	3	4	0	2000	201	1280	NoChange	3	6	1	2000
103	1	35	4	4	0	2000	201	1074	NoChange	3	4	0	2000
103	1	36	3	2	0	2000	201	1841	NoChange	4	4	0	2000
103	1	37	3	4	1	2000	202	1285	6	3	2	0	2000
103	1	38	4	2	0	2000	201	1539	NoChange	3	4	1	2000
103	1	39	2	6	0	2000	201	1059	NoChange	4	2	0	2000
103	1	40	2	4	0	2000	201	772	NoChange	2	6	0	2000
103	1	41	2	6	0	2000	201	2961	NoChange	2	4	0	2000
103	1	42	4	6	1	2000	202	831	6	2	6	0	2000
103	1	43	2	2	0	2000	201	1129	NoChange	4	6	1	2000
103	1	44	1	4	0	2000	201	1392	NoChange	2	2	0	2000
103	1	45	1	4	1	2000	202	925	170	1	4	0	2000
103	1	46	1	6	0	2000	201	1309	NoChange	1	4	1	2000
103	1	47	1	2	0	2000	201	851	NoChange	1	6	0	2000
103	1	48	2	2	0	2000	201	974	NoChange	1	2	0	2000
103	2	1	3	2	1	2000	202	1075	7	0	0	0	
103	2	2	3	2	1	2000	202	1188	8	3	2	1	2000
103	2	3	1	6	1	2000	211	7289	189	3	2	1	2000
103	2	4	2	6	0	2000	201	1556	NoChange	1	6	1	2000
103	2	5	1	4	0	2000	201	921	NoChange	2	6	0	2000
103	2	6	2	6	1	2000	202	1215	7	1	4	0	2000
103	2	7	2	4	1	2000	202	1115	8	2	6	1	2000
103	2	8	2	2	1	2000	202	882	9	2	4	1	2000
103	2	9	4	4	0	2000	212	2690	NoChange	2	2	1	2000
103	2	10	1	2	0	2000	201	979	NoChange	4	4	0	2000
103	2	11	1	4	1	2000	202	856	219	1	2	0	2000
103	2	12	1	2	1	2000	202	1112	222	1	4	1	2000
103	2	13	4	4	1	2000	202	1256	7	1	2	1	2000
103	2	14	3	4	1	2000	202	954	9	4	4	1	2000
103	2	15	3	6	1	2000	202	1344	10	3	4	1	2000
103	2	16	1	6	0	2000	201	1102	NoChange	3	6	1	2000
103	2	17	3	4	0	2000	212	3310	NoChange	1	6	0	2000
103	2	18	3	6	0	2000	201	1039	NoChange	3	4	0	2000
103	2	19	1	6	1	2000	202	889	256	3	6	0	2000
103	2	20	4	2	0	2000	201	1056	NoChange	1	6	1	2000
103	2	21	3	4	0	2000	201	1769	NoChange	4	2	0	2000
103	2	22	3	2	0	2000	201	1568	NoChange	3	4	0	2000
103	2	23	1	4	1	2000	202	1045	269	3	2	0	2000
103	2	24	2	6	1	2000	202	2215	10	1	4	1	2000
103	2	25	4	4	0	2000	201	993	NoChange	2	6	1	2000
103	2	26	4	6	1	2000	202	1493	8	4	4	0	2000
103	2	27	2	2	0	2000	201	799	NoChange	4	6	1	2000
103	2	28	4	6	1	2000	202	1034	9	2	2	0	2000
103	2	29	2	2	0	2000	201	804	NoChange	4	6	1	2000
103	2	30	3	6	1	2000	202	1241	11	2	2	0	2000
103	2	31	4	2	1	2000	202	1107	10	3	6	1	2000
103	2	32	4	4	1	2000	202	1585	11	4	2	1	2000
103	2	33	2	6	0	2000	212	2318	NoChange	4	4	1	2000
103	2	34	3	4	1	2000	202	1862	12	2	6	0	2000
103	2	35	2	4	1	2000	202	1063	11	3	4	1	2000
103	2	36	4	2	0	2000	201	841	NoChange	2	4	1	2000
103	2	37	3	6	0	2000	201	980	NoChange	4	2	0	2000
103	2	38	3	2	0	2000	201	744	NoChange	3	6	0	2000
