#subject	block	trial	condition	setsize	change	time	responses	time	Pic	prev_condition	prev_setsize	prev_change	prev_time
119	1	1	3	6	1	2000	202	2094	1	0	0	0	
119	1	2	2	4	1	2000	211	1590	1	3	6	1	2000
119	1	3	4	2	1	2000	202	586	1	2	4	1	2000
119	1	4	2	4	0	2000	201	1078	NoChange	4	2	1	2000
119	1	5	1	4	0	2000	201	647	NoChange	2	4	0	2000
119	1	6	4	2	0	2000	201	576	NoChange	1	4	0	2000
119	1	7	3	2	0	2000	201	981	NoChange	4	2	0	2000
119	1	8	1	4	0	2000	201	649	NoChange	3	2	0	2000
119	1	9	3	2	0	2000	201	651	NoChange	1	4	0	2000
119	1	10	1	6	0	2000	201	1924	NoChange	3	2	0	2000
119	1	11	4	6	0	2000	201	1619	NoChange	1	6	0	2000
119	1	12	4	6	1	2000	202	805	2	4	6	0	2000
119	1	13	1	2	0	2000	201	793	NoChange	4	6	1	2000
119	1	14	4	2	0	2000	201	541	NoChange	1	2	0	2000
119	1	15	1	2	1	2000	202	546	51	4	2	0	2000
119	1	16	2	4	1	2000	211	856	2	1	2	1	2000
119	1	17	2	6	1	2000	211	825	3	2	4	1	2000
119	1	18	3	6	1	2000	211	556	2	2	6	1	2000
119	1	19	4	4	0	2000	201	641	NoChange	3	6	1	2000
119	1	20	4	6	1	2000	202	2403	3	4	4	0	2000
119	1	21	2	2	0	2000	201	534	NoChange	4	6	1	2000
119	1	22	2	2	1	2000	202	644	4	2	2	0	2000
119	1	23	3	4	1	2000	211	510	3	2	2	1	2000
119	1	24	4	4	0	2000	201	605	NoChange	3	4	1	2000
119	1	25	3	6	0	2000	201	824	NoChange	4	4	0	2000
119	1	26	3	4	0	2000	201	499	NoChange	3	6	0	2000
119	1	27	1	6	1	2000	202	610	100	3	4	0	2000
119	1	28	1	6	0	2000	201	1421	NoChange	1	6	1	2000
119	1	29	3	2	1	2000	211	776	4	1	6	0	2000
119	1	30	2	6	0	2000	201	1492	NoChange	3	2	1	2000
119	1	31	2	4	0	2000	201	716	NoChange	2	6	0	2000
119	1	32	4	2	1	2000	202	515	4	2	4	0	2000
119	1	33	1	6	1	2000	202	674	125	4	2	1	2000
119	1	34	2	2	1	2000	202	2034	5	1	6	1	2000
119	1	35	1	4	1	2000	202	517	131	2	2	1	2000
119	1	36	4	4	1	2000	202	1379	5	1	4	1	2000
119	1	37	3	4	1	2000	211	576	5	4	4	1	2000
119	1	38	2	6	0	2000	201	1412	NoChange	3	4	1	2000
119	1	39	3	2	1	2000	202	928	6	2	6	0	2000
119	1	40	3	6	0	2000	201	854	NoChange	3	2	1	2000
119	1	41	1	2	1	2000	202	720	153	3	6	0	2000
119	1	42	1	4	1	2000	202	558	158	1	2	1	2000
119	1	43	4	6	0	2000	201	571	NoChange	1	4	1	2000
119	1	44	4	4	1	2000	202	2120	6	4	6	0	2000
