#subject	block	trial	condition	setsize	change	time	responses	time	Pic	prev_condition	prev_setsize	prev_change	prev_time
110	1	1	4	6	1	2000	211	744	1	0	0	0	
110	1	2	3	2	0	2000	201	446	NoChange	4	6	1	2000
110	1	3	4	4	0	2000	201	399	NoChange	3	2	0	2000
110	1	4	1	6	1	2000	202	618	18	4	4	0	2000
110	1	5	4	4	0	2000	201	581	NoChange	1	6	1	2000
110	1	6	2	6	1	2000	202	473	1	4	4	0	2000
110	1	7	4	6	0	2000	201	418	NoChange	2	6	1	2000
110	1	8	4	2	1	2000	202	452	2	4	6	0	2000
110	1	9	2	6	0	2000	201	781	NoChange	4	2	1	2000
110	1	10	3	6	0	2000	201	530	NoChange	2	6	0	2000
110	1	11	4	2	1	2000	202	896	3	3	6	0	2000
110	1	12	1	6	0	2000	201	440	NoChange	4	2	1	2000
110	1	13	2	6	0	2000	201	602	NoChange	1	6	0	2000
110	1	14	4	4	1	2000	202	565	4	2	6	0	2000
110	1	15	4	4	1	2000	202	682	5	4	4	1	2000
110	1	16	3	4	1	2000	211	698	1	4	4	1	2000
110	1	17	1	6	0	2000	212	1082	NoChange	3	4	1	2000
110	1	18	3	6	1	2000	211	617	2	1	6	0	2000
110	1	19	2	6	1	2000	211	1692	2	3	6	1	2000
110	1	20	2	4	0	2000	201	692	NoChange	2	6	1	2000
110	1	21	2	2	1	2000	202	868	3	2	4	0	2000
110	1	22	4	6	0	2000	212	884	NoChange	2	2	1	2000
110	1	23	1	4	0	2000	201	580	NoChange	4	6	0	2000
110	1	24	1	4	1	2000	202	737	104	1	4	0	2000
110	1	25	4	2	0	2000	201	663	NoChange	1	4	1	2000
110	1	26	2	2	0	2000	201	696	NoChange	4	2	0	2000
110	1	27	1	2	0	2000	212	2408	NoChange	2	2	0	2000
110	1	28	1	4	1	2000	202	571	115	1	2	0	2000
110	1	29	2	4	1	2000	211	592	4	1	4	1	2000
110	1	30	3	4	0	2000	201	612	NoChange	2	4	1	2000
110	1	31	1	2	1	2000	202	751	125	3	4	0	2000
110	1	32	3	2	1	2000	202	836	3	1	2	1	2000
110	1	33	3	4	0	2000	201	694	NoChange	3	2	1	2000
110	1	34	1	4	0	2000	201	597	NoChange	3	4	0	2000
110	1	35	2	2	0	2000	201	737	NoChange	1	4	0	2000
110	1	36	2	2	1	2000	211	1023	5	2	2	0	2000
110	1	37	2	4	0	2000	201	642	NoChange	2	2	1	2000
110	1	38	1	2	1	2000	202	996	144	2	4	0	2000
110	1	39	3	2	1	2000	202	855	4	1	2	1	2000
110	1	40	3	6	1	2000	202	777	5	3	2	1	2000
110	1	41	3	6	0	2000	201	637	NoChange	3	6	1	2000
110	1	42	1	2	0	2000	201	503	NoChange	3	6	0	2000
110	1	43	4	6	1	2000	202	590	6	1	2	0	2000
110	1	44	3	4	1	2000	211	1114	6	4	6	1	2000
110	1	45	3	2	0	2000	201	881	NoChange	3	4	1	2000
110	1	46	4	2	0	2000	201	762	NoChange	3	2	0	2000
110	1	47	1	6	1	2000	202	727	177	4	2	0	2000
110	1	48	2	4	1	2000	202	709	6	1	6	1	2000
110	2	1	2	6	1	2000	202	835	7	0	0	0	
110	2	2	2	6	1	2000	202	541	8	2	6	1	2000
110	2	3	3	2	0	2000	201	539	NoChange	2	6	1	2000
110	2	4	2	2	1	2000	202	528	9	3	2	0	2000
110	2	5	4	2	1	2000	202	1687	7	2	2	1	2000
110	2	6	3	6	1	2000	211	759	7	4	2	1	2000
110	2	7	4	4	1	2000	202	756	8	3	6	1	2000
110	2	8	3	2	0	2000	212	1985	NoChange	4	4	1	2000
110	2	9	1	6	0	2000	212	1766	NoChange	3	2	0	2000
110	2	10	2	4	0	2000	201	618	NoChange	1	6	0	2000
110	2	11	1	2	1	2000	202	589	217	2	4	0	2000
110	2	12	1	2	1	2000	202	553	220	1	2	1	2000
110	2	13	1	4	0	2000	201	1262	NoChange	1	2	1	2000
110	2	14	3	6	0	2000	201	951	NoChange	1	4	0	2000
110	2	15	4	6	1	2000	202	620	9	3	6	0	2000
110	2	16	1	4	0	2000	201	791	NoChange	4	6	1	2000
110	2	17	2	6	0	2000	201	851	NoChange	1	4	0	2000
110	2	18	1	6	1	2000	202	572	252	2	6	0	2000
110	2	19	1	6	0	2000	201	496	NoChange	1	6	1	2000
110	2	20	1	2	0	2000	201	640	NoChange	1	6	0	2000
110	2	21	3	4	0	2000	201	466	NoChange	1	2	0	2000
110	2	22	1	4	1	2000	202	562	269	3	4	0	2000
110	2	23	2	2	0	2000	201	447	NoChange	1	4	1	2000
110	2	24	3	4	1	2000	211	593	8	2	2	0	2000
110	2	25	2	4	0	2000	201	501	NoChange	3	4	1	2000
110	2	26	2	6	0	2000	201	660	NoChange	2	4	0	2000
110	2	27	4	4	0	2000	201	517	NoChange	2	6	0	2000
110	2	28	1	6	1	2000	202	756	295	4	4	0	2000
110	2	29	4	6	0	2000	201	601	NoChange	1	6	1	2000
110	2	30	4	4	1	2000	202	1052	10	4	6	0	2000
110	2	31	3	6	1	2000	211	709	9	4	4	1	2000
110	2	32	2	2	1	2000	202	660	10	3	6	1	2000
110	2	33	4	2	0	2000	201	1301	NoChange	2	2	1	2000
110	2	34	2	4	1	2000	211	1069	11	4	2	0	2000
110	2	35	2	4	1	2000	211	573	12	2	4	1	2000
110	2	36	3	2	1	2000	211	538	10	2	4	1	2000
110	2	37	3	6	0	2000	212	728	NoChange	3	2	1	2000
110	2	38	1	2	0	2000	201	758	NoChange	3	6	0	2000
110	2	39	4	6	1	2000	202	931	11	1	2	0	2000
110	2	40	3	4	0	2000	201	506	NoChange	4	6	1	2000
110	2	41	4	2	1	2000	211	713	12	3	4	0	2000
110	2	42	3	2	1	2000	202	752	11	4	2	1	2000
110	2	43	2	2	0	2000	201	549	NoChange	3	2	1	2000
110	2	44	4	2	0	2000	201	610	NoChange	2	2	0	2000
110	2	45	3	4	1	2000	202	893	12	4	2	0	2000
110	2	46	4	4	0	2000	201	861	NoChange	3	4	1	2000
110	2	47	1	4	1	2000	202	767	354	4	4	0	2000
110	2	48	4	6	0	2000	201	563	NoChange	1	4	1	2000
110	3	1	3	2	0	2000	201	444	NoChange	0	0	0	
110	3	2	4	2	0	2000	201	597	NoChange	3	2	0	2000
110	3	3	2	2	0	2000	201	537	NoChange	4	2	0	2000
110	3	4	1	4	0	2000	201	599	NoChange	2	2	0	2000
110	3	5	4	4	1	2000	202	874	13	1	4	0	2000
110	3	6	3	2	1	2000	211	483	13	4	4	1	2000
110	3	7	3	6	1	2000	202	1098	14	3	2	1	2000
110	3	8	1	6	0	2000	201	690	NoChange	3	6	1	2000
110	3	9	2	2	1	2000	202	1114	13	1	6	0	2000
110	3	10	2	4	1	2000	202	825	14	2	2	1	2000
110	3	11	1	2	1	2000	202	659	392	2	4	1	2000
110	3	12	3	2	1	2000	202	772	15	1	2	1	2000
110	3	13	3	2	0	2000	201	897	NoChange	3	2	1	2000
110	3	14	3	4	1	2000	202	545	16	3	2	0	2000
110	3	15	2	6	1	2000	211	1559	15	3	4	1	2000
110	3	16	1	4	0	2000	212	1180	NoChange	2	6	1	2000
110	3	17	3	6	0	2000	201	617	NoChange	1	4	0	2000
110	3	18	2	4	0	2000	201	691	NoChange	3	6	0	2000
110	3	19	1	6	1	2000	202	475	424	2	4	0	2000
110	3	20	4	4	0	2000	201	531	NoChange	1	6	1	2000
110	3	21	4	6	1	2000	202	866	14	4	4	0	2000
110	3	22	2	6	0	2000	201	906	NoChange	4	6	1	2000
110	3	23	1	4	1	2000	202	490	444	2	6	0	2000
110	3	24	3	6	0	2000	201	905	NoChange	1	4	1	2000
110	3	25	1	2	1	2000	202	545	453	3	6	0	2000
110	3	26	3	4	1	2000	211	574	17	1	2	1	2000
110	3	27	1	2	0	2000	201	571	NoChange	3	4	1	2000
110	3	28	4	6	0	2000	201	1103	NoChange	1	2	0	2000
110	3	29	4	6	0	2000	201	815	NoChange	4	6	0	2000
110	3	30	4	6	1	2000	202	554	15	4	6	0	2000
110	3	31	2	6	1	2000	202	1335	16	4	6	1	2000
110	3	32	4	2	1	2000	202	917	16	2	6	1	2000
110	3	33	2	4	1	2000	202	675	17	4	2	1	2000
110	3	34	4	2	1	2000	202	732	17	2	4	1	2000
110	3	35	1	6	1	2000	202	570	492	4	2	1	2000
110	3	36	1	6	0	2000	201	654	NoChange	1	6	1	2000
110	3	37	2	2	1	2000	202	567	18	1	6	0	2000
110	3	38	4	2	0	2000	201	1084	NoChange	2	2	1	2000
110	3	39	2	2	0	2000	201	2420	NoChange	4	2	0	2000
110	3	40	3	4	0	2000	201	567	NoChange	2	2	0	2000
110	3	41	3	6	1	2000	211	531	18	3	4	0	2000
110	3	42	2	4	0	2000	201	962	NoChange	3	6	1	2000
110	3	43	4	4	0	2000	201	591	NoChange	2	4	0	2000
110	3	44	2	6	0	2000	201	475	NoChange	4	4	0	2000
110	3	45	4	4	1	2000	211	1371	18	2	6	0	2000
110	3	46	3	4	0	2000	201	600	NoChange	4	4	1	2000
110	3	47	1	2	0	2000	201	995	NoChange	3	4	0	2000
110	3	48	1	4	1	2000	202	863	540	1	2	0	2000
110	4	1	3	6	1	2000	202	590	19	0	0	0	
110	4	2	4	6	1	2000	202	769	19	3	6	1	2000
110	4	3	4	2	0	2000	201	822	NoChange	4	6	1	2000
110	4	4	4	6	0	2000	201	809	NoChange	4	2	0	2000
110	4	5	1	6	0	2000	212	4788	NoChange	4	6	0	2000
110	4	6	4	4	1	2000	202	1385	20	1	6	0	2000
110	4	7	1	2	0	2000	201	1221	NoChange	4	4	1	2000
110	4	8	4	4	0	2000	201	528	NoChange	1	2	0	2000
110	4	9	1	6	1	2000	202	502	580	4	4	0	2000
110	4	10	1	2	0	2000	201	381	NoChange	1	6	1	2000
110	4	11	3	4	0	2000	201	610	NoChange	1	2	0	2000
110	4	12	3	6	0	2000	201	613	NoChange	3	4	0	2000
110	4	13	4	6	1	2000	202	640	21	3	6	0	2000
110	4	14	4	2	1	2000	202	898	22	4	6	1	2000
110	4	15	2	6	0	2000	201	498	NoChange	4	2	1	2000
110	4	16	1	4	1	2000	202	505	609	2	6	0	2000
110	4	17	2	2	1	2000	202	640	19	1	4	1	2000
110	4	18	3	2	0	2000	201	554	NoChange	2	2	1	2000
110	4	19	4	6	0	2000	212	935	NoChange	3	2	0	2000
110	4	20	3	6	0	2000	201	1013	NoChange	4	6	0	2000
110	4	21	2	2	0	2000	201	705	NoChange	3	6	0	2000
