#subject	block	trial	condition	setsize	change	time	responses	time	Pic	prev_condition	prev_setsize	prev_change	prev_time
109	1	1	1	4	1	2000	202	635	5	0	0	0	
109	1	2	1	2	0	2000	201	845	NoChange	1	4	1	2000
109	1	3	1	4	0	2000	201	638	NoChange	1	2	0	2000
109	1	4	1	2	0	2000	201	464	NoChange	1	4	0	2000
109	1	5	2	4	0	2000	201	689	NoChange	1	2	0	2000
109	1	6	4	2	0	2000	201	609	NoChange	2	4	0	2000
109	1	7	2	4	1	2000	211	716	1	4	2	0	2000
109	1	8	3	2	1	2000	202	1627	1	2	4	1	2000
109	1	9	4	4	0	2000	201	662	NoChange	3	2	1	2000
109	1	10	3	4	0	2000	201	591	NoChange	4	4	0	2000
109	1	11	2	4	1	2000	202	618	2	3	4	0	2000
109	1	12	2	6	1	2000	202	1077	3	2	4	1	2000
109	1	13	2	2	1	2000	211	1406	4	2	6	1	2000
109	1	14	3	4	1	2000	211	993	2	2	2	1	2000
109	1	15	4	6	1	2000	202	605	1	3	4	1	2000
109	1	16	3	6	0	2000	201	1128	NoChange	4	6	1	2000
109	1	17	1	6	0	2000	212	863	NoChange	3	6	0	2000
109	1	18	2	2	0	2000	201	520	NoChange	1	6	0	2000
109	1	19	1	6	0	2000	201	614	NoChange	2	2	0	2000
109	1	20	1	6	1	2000	202	449	75	1	6	0	2000
109	1	21	4	6	1	2000	202	658	2	1	6	1	2000
109	1	22	3	4	1	2000	202	932	3	4	6	1	2000
109	1	23	1	4	0	2000	201	681	NoChange	3	4	1	2000
109	1	24	1	2	1	2000	202	521	90	1	4	0	2000
109	1	25	4	2	1	2000	202	544	3	1	2	1	2000
109	1	26	1	4	1	2000	202	541	96	4	2	1	2000
109	1	27	4	6	0	2000	201	939	NoChange	1	4	1	2000
109	1	28	3	2	0	2000	201	433	NoChange	4	6	0	2000
109	1	29	2	6	1	2000	202	659	5	3	2	0	2000
109	1	30	4	4	0	2000	201	732	NoChange	2	6	1	2000
109	1	31	3	2	0	2000	201	378	NoChange	4	4	0	2000
109	1	32	4	2	0	2000	201	598	NoChange	3	2	0	2000
109	1	33	3	4	0	2000	201	538	NoChange	4	2	0	2000
109	1	34	4	2	1	2000	202	592	4	3	4	0	2000
109	1	35	3	6	1	2000	202	988	4	4	2	1	2000
109	1	36	2	2	1	2000	202	471	6	3	6	1	2000
109	1	37	1	6	1	2000	202	824	135	2	2	1	2000
109	1	38	3	6	0	2000	201	426	NoChange	1	6	1	2000
109	1	39	3	2	1	2000	202	629	5	3	6	0	2000
109	1	40	4	6	0	2000	212	1039	NoChange	3	2	1	2000
109	1	41	2	6	0	2000	201	1081	NoChange	4	6	0	2000
109	1	42	4	4	1	2000	202	802	5	2	6	0	2000
109	1	43	2	6	0	2000	201	757	NoChange	4	4	1	2000
109	1	44	2	4	0	2000	201	474	NoChange	2	6	0	2000
109	1	45	3	6	1	2000	211	586	6	2	4	0	2000
109	1	46	2	2	0	2000	201	526	NoChange	3	6	1	2000
109	1	47	1	2	1	2000	202	653	177	2	2	0	2000
109	1	48	4	4	1	2000	202	702	6	1	2	1	2000
109	2	1	2	4	1	2000	211	579	7	0	0	0	
109	2	2	1	4	1	2000	202	583	188	2	4	1	2000
109	2	3	3	2	0	2000	212	499	NoChange	1	4	1	2000
109	2	4	3	4	1	2000	202	570	7	3	2	0	2000
109	2	5	4	6	1	2000	202	734	7	3	4	1	2000
109	2	6	1	2	1	2000	202	628	201	4	6	1	2000
109	2	7	1	6	1	2000	202	543	208	1	2	1	2000
109	2	8	1	4	0	2000	201	548	NoChange	1	6	1	2000
109	2	9	1	6	1	2000	202	625	219	1	4	0	2000
109	2	10	2	6	0	2000	212	500	NoChange	1	6	1	2000
109	2	11	3	4	1	2000	202	875	8	2	6	0	2000
109	2	12	4	6	0	2000	212	755	NoChange	3	4	1	2000
109	2	13	3	4	0	2000	201	1089	NoChange	4	6	0	2000
109	2	14	2	2	0	2000	201	569	NoChange	3	4	0	2000
109	2	15	2	4	1	2000	202	725	8	2	2	0	2000
109	2	16	3	6	0	2000	201	1188	NoChange	2	4	1	2000
109	2	17	4	2	0	2000	201	456	NoChange	3	6	0	2000
109	2	18	2	2	1	2000	202	457	9	4	2	0	2000
109	2	19	1	4	1	2000	202	506	257	2	2	1	2000
109	2	20	2	2	1	2000	202	737	10	1	4	1	2000
109	2	21	1	2	0	2000	201	519	NoChange	2	2	1	2000
109	2	22	3	2	1	2000	202	437	9	1	2	0	2000
109	2	23	2	4	0	2000	201	671	NoChange	3	2	1	2000
109	2	24	2	6	0	2000	201	687	NoChange	2	4	0	2000
109	2	25	4	2	1	2000	202	463	8	2	6	0	2000
109	2	26	4	2	1	2000	202	616	9	4	2	1	2000
109	2	27	1	2	0	2000	212	362	NoChange	4	2	1	2000
109	2	28	4	4	1	2000	202	432	10	1	2	0	2000
109	2	29	1	2	1	2000	202	506	281	4	4	1	2000
109	2	30	4	4	1	2000	202	801	11	1	2	1	2000
109	2	31	4	6	0	2000	201	716	NoChange	4	4	1	2000
109	2	32	1	6	0	2000	201	571	NoChange	4	6	0	2000
