#subject	block	trial	condition	setsize	change	time	responses	time	Pic	prev_condition	prev_setsize	prev_change	prev_time
107	1	1	1	2	1	2000	202	1535	3	0	0	0	
107	1	2	1	6	0	2000	212	1341	NoChange	1	2	1	2000
107	1	3	3	2	0	2000	201	739	NoChange	1	6	0	2000
107	1	4	1	6	1	2000	202	937	18	3	2	0	2000
107	1	5	2	4	0	2000	201	806	NoChange	1	6	1	2000
107	1	6	3	6	0	2000	201	1362	NoChange	2	4	0	2000
107	1	7	3	4	0	2000	201	1103	NoChange	3	6	0	2000
107	1	8	2	4	1	2000	202	1142	1	3	4	0	2000
107	1	9	4	4	1	2000	202	1492	1	2	4	1	2000
107	1	10	1	4	0	2000	201	1253	NoChange	4	4	1	2000
107	1	11	1	2	0	2000	201	998	NoChange	1	4	0	2000
107	1	12	2	4	1	2000	202	1010	2	1	2	0	2000
107	1	13	3	6	0	2000	201	1213	NoChange	2	4	1	2000
107	1	14	3	2	1	2000	211	784	1	3	6	0	2000
107	1	15	2	2	0	2000	201	916	NoChange	3	2	1	2000
107	1	16	3	4	1	2000	202	1347	2	2	2	0	2000
107	1	17	2	6	0	2000	201	1881	NoChange	3	4	1	2000
107	1	18	2	6	1	2000	211	2298	3	2	6	0	2000
107	1	19	2	6	0	2000	201	922	NoChange	2	6	1	2000
107	1	20	1	2	0	2000	201	608	NoChange	2	6	0	2000
107	1	21	3	4	1	2000	202	851	3	1	2	0	2000
107	1	22	1	2	1	2000	202	2052	84	3	4	1	2000
107	1	23	2	6	1	2000	211	2070	4	1	2	1	2000
107	1	24	4	4	0	2000	201	1359	NoChange	2	6	1	2000
107	1	25	4	6	0	2000	212	2165	NoChange	4	4	0	2000
107	1	26	3	2	1	2000	211	4658	4	4	6	0	2000
107	1	27	4	2	0	2000	201	1380	NoChange	3	2	1	2000
107	1	28	4	4	0	2000	201	1121	NoChange	4	2	0	2000
107	1	29	4	2	1	2000	202	1408	2	4	4	0	2000
107	1	30	4	6	1	2000	202	1595	3	4	2	1	2000
107	1	31	1	4	1	2000	202	1111	117	4	6	1	2000
107	1	32	3	4	0	2000	201	1119	NoChange	1	4	1	2000
107	1	33	2	2	1	2000	211	1877	5	3	4	0	2000
107	1	34	4	4	1	2000	202	926	4	2	2	1	2000
107	1	35	2	4	0	2000	201	1613	NoChange	4	4	1	2000
107	1	36	4	2	1	2000	202	736	5	2	4	0	2000
107	1	37	1	6	1	2000	202	1510	137	4	2	1	2000
107	1	38	1	6	0	2000	201	838	NoChange	1	6	1	2000
107	1	39	2	2	1	2000	202	1551	6	1	6	0	2000
107	1	40	1	4	0	2000	201	805	NoChange	2	2	1	2000
107	1	41	4	6	0	2000	212	1448	NoChange	1	4	0	2000
107	1	42	3	2	0	2000	201	714	NoChange	4	6	0	2000
107	1	43	3	6	1	2000	202	1089	5	3	2	0	2000
107	1	44	3	6	1	2000	202	937	6	3	6	1	2000
107	1	45	2	2	0	2000	201	703	NoChange	3	6	1	2000
107	1	46	4	6	1	2000	202	934	6	2	2	0	2000
107	1	47	1	4	1	2000	202	972	178	4	6	1	2000
107	1	48	4	2	0	2000	201	1544	NoChange	1	4	1	2000
107	2	1	4	2	1	2000	202	1367	7	0	0	0	
107	2	2	4	2	0	2000	201	2164	NoChange	4	2	1	2000
107	2	3	4	4	0	2000	201	649	NoChange	4	2	0	2000
107	2	4	1	6	0	2000	212	1378	NoChange	4	4	0	2000
107	2	5	3	2	1	2000	202	1863	7	1	6	0	2000
107	2	6	1	4	0	2000	201	2417	NoChange	3	2	1	2000
107	2	7	1	4	1	2000	202	892	203	1	4	0	2000
107	2	8	3	4	1	2000	211	1460	8	1	4	1	2000
107	2	9	4	4	0	2000	201	4973	NoChange	3	4	1	2000
107	2	10	3	4	1	2000	211	1315	9	4	4	0	2000
107	2	11	1	4	0	2000	201	698	NoChange	3	4	1	2000
107	2	12	3	4	0	2000	201	2194	NoChange	1	4	0	2000
107	2	13	1	6	1	2000	202	1110	228	3	4	0	2000
107	2	14	4	2	0	2000	201	838	NoChange	1	6	1	2000
107	2	15	4	6	0	2000	201	1208	NoChange	4	2	0	2000
107	2	16	2	4	0	2000	201	1251	NoChange	4	6	0	2000
107	2	17	3	6	0	2000	201	1644	NoChange	2	4	0	2000
107	2	18	4	2	1	2000	202	702	8	3	6	0	2000
107	2	19	4	4	1	2000	202	1094	9	4	2	1	2000
107	2	20	2	6	0	2000	212	894	NoChange	4	4	1	2000
107	2	21	3	4	0	2000	201	1013	NoChange	2	6	0	2000
107	2	22	3	6	0	2000	201	2057	NoChange	3	4	0	2000
107	2	23	1	2	1	2000	202	674	269	3	6	0	2000
107	2	24	4	6	1	2000	202	819	10	1	2	1	2000
107	2	25	2	2	0	2000	201	613	NoChange	4	6	1	2000
107	2	26	1	2	0	2000	201	840	NoChange	2	2	0	2000
107	2	27	2	4	1	2000	202	1162	7	1	2	0	2000
107	2	28	2	6	0	2000	201	776	NoChange	2	4	1	2000
107	2	29	3	6	1	2000	211	1388	10	2	6	0	2000
107	2	30	3	2	0	2000	201	712	NoChange	3	6	1	2000
107	2	31	2	6	1	2000	202	1879	8	3	2	0	2000
107	2	32	2	4	1	2000	202	1000	9	2	6	1	2000
107	2	33	3	2	1	2000	202	828	11	2	4	1	2000
107	2	34	1	6	0	2000	201	2254	NoChange	3	2	1	2000
107	2	35	2	2	0	2000	201	2464	NoChange	1	6	0	2000
107	2	36	3	2	0	2000	201	1058	NoChange	2	2	0	2000
107	2	37	2	2	1	2000	202	995	10	3	2	0	2000
107	2	38	3	6	1	2000	202	2335	12	2	2	1	2000
107	2	39	4	6	0	2000	201	1813	NoChange	3	6	1	2000
107	2	40	1	6	1	2000	202	1721	332	4	6	0	2000
107	2	41	2	6	1	2000	211	1448	11	1	6	1	2000
107	2	42	4	6	1	2000	202	1489	11	2	6	1	2000
107	2	43	1	2	0	2000	201	1785	NoChange	4	6	1	2000
107	2	44	2	4	0	2000	212	1462	NoChange	1	2	0	2000
107	2	45	4	4	1	2000	202	1335	12	2	4	0	2000
107	2	46	1	2	1	2000	202	1221	354	4	4	1	2000
107	2	47	2	2	1	2000	202	2576	12	1	2	1	2000
107	2	48	1	4	1	2000	202	1349	360	2	2	1	2000
107	3	1	3	2	0	2000	201	1294	NoChange	0	0	0	
107	3	2	1	2	0	2000	201	1070	NoChange	3	2	0	2000
107	3	3	4	6	0	2000	201	847	NoChange	1	2	0	2000
107	3	4	2	6	1	2000	202	1169	13	4	6	0	2000
107	3	5	4	4	1	2000	211	1973	13	2	6	1	2000
107	3	6	2	4	1	2000	202	1682	14	4	4	1	2000
107	3	7	2	2	1	2000	202	1027	15	2	4	1	2000
107	3	8	3	4	1	2000	202	1221	13	2	2	1	2000
107	3	9	1	6	1	2000	202	968	392	3	4	1	2000
107	3	10	4	6	1	2000	202	820	14	1	6	1	2000
107	3	11	4	4	0	2000	201	1447	NoChange	4	6	1	2000
107	3	12	1	6	0	2000	212	2425	NoChange	4	4	0	2000
107	3	13	2	6	0	2000	212	1708	NoChange	1	6	0	2000
107	3	14	1	4	0	2000	201	1364	NoChange	2	6	0	2000
107	3	15	4	2	0	2000	201	1049	NoChange	1	4	0	2000
107	3	16	1	4	1	2000	202	3123	424	4	2	0	2000
107	3	17	3	2	1	2000	211	1594	14	1	4	1	2000
107	3	18	2	2	1	2000	202	958	16	3	2	1	2000
107	3	19	2	4	0	2000	201	875	NoChange	2	2	1	2000
107	3	20	1	6	0	2000	201	1068	NoChange	2	4	0	2000
107	3	21	1	6	1	2000	202	789	443	1	6	0	2000
107	3	22	3	6	1	2000	211	2344	15	1	6	1	2000
107	3	23	1	2	0	2000	201	1295	NoChange	3	6	1	2000
107	3	24	3	6	0	2000	212	2399	NoChange	1	2	0	2000
