#subject	block	trial	condition	setsize	change	time	responses	time	Pic	prev_condition	prev_setsize	prev_change	prev_time
114	1	1	2	4	1	2000	211	1576	1	0	0	0	
114	1	2	3	6	1	2000	211	2317	1	2	4	1	2000
114	1	3	1	2	0	2000	201	1164	NoChange	3	6	1	2000
114	1	4	3	2	1	2000	202	1089	2	1	2	0	2000
114	1	5	4	2	1	2000	202	1009	1	3	2	1	2000
114	1	6	2	2	1	2000	202	1324	2	4	2	1	2000
114	1	7	4	4	0	2000	201	1259	NoChange	2	2	1	2000
114	1	8	3	4	1	2000	202	1413	3	4	4	0	2000
114	1	9	1	2	1	2000	202	704	23	3	4	1	2000
114	1	10	3	2	0	2000	201	3095	NoChange	1	2	1	2000
114	1	11	3	4	1	2000	202	1104	4	3	2	0	2000
114	1	12	3	2	1	2000	202	1951	5	3	4	1	2000
114	1	13	1	6	1	2000	202	821	36	3	2	1	2000
114	1	14	4	6	1	2000	202	1151	2	1	6	1	2000
114	1	15	2	4	0	2000	201	1293	NoChange	4	6	1	2000
114	1	16	3	6	0	2000	212	1109	NoChange	2	4	0	2000
114	1	17	4	6	1	2000	202	1244	3	3	6	0	2000
114	1	18	2	2	0	2000	201	918	NoChange	4	6	1	2000
114	1	19	4	6	0	2000	201	1573	NoChange	2	2	0	2000
114	1	20	1	4	0	2000	201	905	NoChange	4	6	0	2000
114	1	21	1	2	1	2000	202	801	71	1	4	0	2000
114	1	22	4	4	1	2000	202	884	4	1	2	1	2000
114	1	23	1	4	1	2000	202	836	79	4	4	1	2000
114	1	24	4	4	0	2000	201	1094	NoChange	1	4	1	2000
114	1	25	2	6	1	2000	202	2046	3	4	4	0	2000
114	1	26	2	6	0	2000	201	1056	NoChange	2	6	1	2000
114	1	27	1	4	0	2000	212	4081	NoChange	2	6	0	2000
114	1	28	2	4	1	2000	202	1346	4	1	4	0	2000
114	1	29	1	4	1	2000	202	928	106	2	4	1	2000
114	1	30	3	6	1	2000	211	2399	6	1	4	1	2000
114	1	31	3	2	0	2000	201	1251	NoChange	3	6	1	2000
114	1	32	4	2	0	2000	212	1948	NoChange	3	2	0	2000
114	1	33	4	4	1	2000	202	1210	5	4	2	0	2000
114	1	34	4	2	1	2000	202	813	6	4	4	1	2000
114	1	35	3	4	0	2000	201	1104	NoChange	4	2	1	2000
114	1	36	2	6	1	2000	202	1384	5	3	4	0	2000
114	1	37	1	6	0	2000	201	1332	NoChange	2	6	1	2000
114	1	38	3	4	0	2000	201	1050	NoChange	1	6	0	2000
114	1	39	1	2	0	2000	201	1011	NoChange	3	4	0	2000
114	1	40	1	6	1	2000	202	1158	147	1	2	0	2000
114	1	41	2	4	0	2000	201	1076	NoChange	1	6	1	2000
114	1	42	4	2	0	2000	201	1068	NoChange	2	4	0	2000
114	1	43	2	6	0	2000	201	805	NoChange	4	2	0	2000
114	1	44	2	2	0	2000	201	960	NoChange	2	6	0	2000
114	1	45	2	2	1	2000	202	1445	6	2	2	0	2000
114	1	46	3	6	0	2000	201	1287	NoChange	2	2	1	2000
114	1	47	4	6	0	2000	201	3471	NoChange	3	6	0	2000
114	1	48	1	6	0	2000	212	1721	NoChange	4	6	0	2000
114	2	1	3	6	0	2000	201	1380	NoChange	0	0	0	
114	2	2	2	6	1	2000	211	1209	7	3	6	0	2000
114	2	3	2	4	0	2000	201	868	NoChange	2	6	1	2000
114	2	4	4	2	1	2000	202	893	7	2	4	0	2000
114	2	5	2	4	1	2000	202	996	8	4	2	1	2000
114	2	6	1	4	1	2000	202	1080	204	2	4	1	2000
114	2	7	2	4	1	2000	202	1289	9	1	4	1	2000
114	2	8	2	6	1	2000	202	1089	10	2	4	1	2000
114	2	9	1	6	0	2000	201	1777	NoChange	2	6	1	2000
114	2	10	2	4	0	2000	201	1118	NoChange	1	6	0	2000
114	2	11	3	4	0	2000	201	853	NoChange	2	4	0	2000
114	2	12	3	4	1	2000	202	1310	7	3	4	0	2000
114	2	13	4	4	0	2000	201	1101	NoChange	3	4	1	2000
114	2	14	1	2	0	2000	201	676	NoChange	4	4	0	2000
114	2	15	2	2	1	2000	202	1197	11	1	2	0	2000
114	2	16	1	2	0	2000	201	2361	NoChange	2	2	1	2000
114	2	17	3	2	1	2000	202	1071	8	1	2	0	2000
114	2	18	2	6	0	2000	201	943	NoChange	3	2	1	2000
114	2	19	4	6	1	2000	202	1549	8	2	6	0	2000
114	2	20	4	2	1	2000	202	1451	9	4	6	1	2000
114	2	21	2	6	0	2000	201	2332	NoChange	4	2	1	2000
114	2	22	4	4	0	2000	201	1531	NoChange	2	6	0	2000
114	2	23	1	4	0	2000	212	1801	NoChange	4	4	0	2000
114	2	24	3	2	0	2000	201	741	NoChange	1	4	0	2000
114	2	25	3	4	0	2000	201	2915	NoChange	3	2	0	2000
114	2	26	4	2	0	2000	201	1578	NoChange	3	4	0	2000
114	2	27	1	6	1	2000	202	1263	280	4	2	0	2000
114	2	28	3	2	1	2000	202	1616	9	1	6	1	2000
114	2	29	1	2	1	2000	202	939	284	3	2	1	2000
114	2	30	4	4	1	2000	202	1233	10	1	2	1	2000
114	2	31	1	6	1	2000	202	1387	294	4	4	1	2000
114	2	32	1	6	0	2000	212	1783	NoChange	1	6	1	2000
114	2	33	3	6	1	2000	202	1572	10	1	6	0	2000
114	2	34	2	2	1	2000	202	1712	12	3	6	1	2000
114	2	35	1	4	0	2000	212	1024	NoChange	2	2	1	2000
114	2	36	2	2	0	2000	201	1850	NoChange	1	4	0	2000
114	2	37	1	2	1	2000	202	852	315	2	2	0	2000
114	2	38	4	4	1	2000	202	1133	11	1	2	1	2000
114	2	39	4	6	1	2000	202	955	12	4	4	1	2000
114	2	40	3	6	1	2000	202	1865	11	4	6	1	2000
114	2	41	3	6	0	2000	201	1473	NoChange	3	6	1	2000
114	2	42	2	2	0	2000	201	1090	NoChange	3	6	0	2000
114	2	43	4	2	0	2000	201	1466	NoChange	2	2	0	2000
114	2	44	4	6	0	2000	201	1227	NoChange	4	2	0	2000
114	2	45	3	4	1	2000	202	1526	12	4	6	0	2000
114	2	46	3	2	0	2000	201	1524	NoChange	3	4	1	2000
114	2	47	1	4	1	2000	202	2147	354	3	2	0	2000
114	2	48	4	6	0	2000	212	1698	NoChange	1	4	1	2000
114	3	1	3	2	1	2000	202	1625	13	0	0	0	
114	3	2	2	6	1	2000	211	1892	13	3	2	1	2000
114	3	3	4	2	0	2000	201	836	NoChange	2	6	1	2000
114	3	4	2	2	0	2000	201	1534	NoChange	4	2	0	2000
114	3	5	1	4	0	2000	201	1148	NoChange	2	2	0	2000
114	3	6	4	4	0	2000	201	602	NoChange	1	4	0	2000
114	3	7	3	6	0	2000	212	1573	NoChange	4	4	0	2000
114	3	8	2	6	0	2000	212	1186	NoChange	3	6	0	2000
114	3	9	4	2	1	2000	202	1982	13	2	6	0	2000
114	3	10	4	4	1	2000	202	1482	14	4	2	1	2000
114	3	11	1	6	0	2000	201	938	NoChange	4	4	1	2000
114	3	12	2	6	0	2000	201	2192	NoChange	1	6	0	2000
114	3	13	3	4	1	2000	202	2076	14	2	6	0	2000
114	3	14	4	6	0	2000	201	1085	NoChange	3	4	1	2000
114	3	15	2	2	1	2000	202	1021	14	4	6	0	2000
114	3	16	2	4	1	2000	202	2288	15	2	2	1	2000
114	3	17	4	6	1	2000	202	1152	15	2	4	1	2000
114	3	18	3	4	0	2000	212	934	NoChange	4	6	1	2000
114	3	19	1	4	1	2000	202	708	433	3	4	0	2000
114	3	20	1	4	0	2000	201	2043	NoChange	1	4	1	2000
114	3	21	2	4	0	2000	201	989	NoChange	1	4	0	2000
114	3	22	4	6	0	2000	201	889	NoChange	2	4	0	2000
114	3	23	2	4	0	2000	201	1033	NoChange	4	6	0	2000
114	3	24	1	6	1	2000	202	2195	458	2	4	0	2000
114	3	25	1	2	0	2000	201	751	NoChange	1	6	1	2000
114	3	26	3	2	1	2000	211	1036	15	1	2	0	2000
114	3	27	2	6	1	2000	202	1118	16	3	2	1	2000
114	3	28	4	4	1	2000	211	1181	16	2	6	1	2000
114	3	29	1	2	1	2000	202	850	472	4	4	1	2000
114	3	30	2	2	1	2000	202	1107	17	1	2	1	2000
114	3	31	3	2	0	2000	201	1202	NoChange	2	2	1	2000
114	3	32	1	4	1	2000	202	758	480	3	2	0	2000
114	3	33	1	2	1	2000	202	2179	483	1	4	1	2000
114	3	34	3	6	0	2000	201	1080	NoChange	1	2	1	2000
114	3	35	1	6	1	2000	202	1160	496	3	6	0	2000
114	3	36	1	2	0	2000	201	1038	NoChange	1	6	1	2000
114	3	37	3	6	1	2000	202	920	16	1	2	0	2000
114	3	38	4	6	1	2000	202	1158	17	3	6	1	2000
114	3	39	3	4	1	2000	202	1628	17	4	6	1	2000
114	3	40	2	2	0	2000	201	1382	NoChange	3	4	1	2000
114	3	41	2	4	1	2000	202	587	18	2	2	0	2000
114	3	42	1	6	0	2000	201	1454	NoChange	2	4	1	2000
114	3	43	3	6	1	2000	202	1960	18	1	6	0	2000
114	3	44	4	4	0	2000	201	1477	NoChange	3	6	1	2000
114	3	45	3	2	0	2000	201	1382	NoChange	4	4	0	2000
114	3	46	4	2	1	2000	202	810	18	3	2	0	2000
114	3	47	3	4	0	2000	201	1141	NoChange	4	2	1	2000
114	3	48	4	2	0	2000	201	1259	NoChange	3	4	0	2000
114	4	1	2	2	1	2000	202	862	19	0	0	0	
114	4	2	1	2	0	2000	201	1095	NoChange	2	2	1	2000
114	4	3	3	6	1	2000	202	1127	19	1	2	0	2000
114	4	4	2	4	0	2000	212	7014	NoChange	3	6	1	2000
114	4	5	1	6	1	2000	202	971	559	2	4	0	2000
114	4	6	4	2	0	2000	201	2880	NoChange	1	6	1	2000
114	4	7	3	6	1	2000	202	3369	20	4	2	0	2000
114	4	8	2	2	0	2000	201	1238	NoChange	3	6	1	2000
114	4	9	4	4	0	2000	201	1129	NoChange	2	2	0	2000
114	4	10	3	2	1	2000	211	2199	21	4	4	0	2000
114	4	11	4	6	1	2000	202	779	19	3	2	1	2000
114	4	12	2	4	1	2000	211	1191	20	4	6	1	2000
114	4	13	1	4	1	2000	202	1259	586	2	4	1	2000
114	4	14	1	4	0	2000	201	1093	NoChange	1	4	1	2000
114	4	15	1	2	1	2000	202	1501	593	1	4	0	2000
114	4	16	3	2	0	2000	201	764	NoChange	1	2	1	2000
114	4	17	3	4	1	2000	202	1729	22	3	2	0	2000
114	4	18	2	6	1	2000	202	1712	21	3	4	1	2000
114	4	19	2	6	1	2000	202	960	22	2	6	1	2000
114	4	20	4	2	1	2000	202	909	20	2	6	1	2000
114	4	21	2	2	0	2000	201	1180	NoChange	4	2	1	2000
114	4	22	2	2	1	2000	202	1249	23	2	2	0	2000
