#subject	block	trial	condition	setsize	change	time	responses	time	Pic	prev_condition	prev_setsize	prev_change	prev_time
120	1	1	4	6	0	2000	212	1410	NoChange	0	0	0	
120	1	2	3	2	1	2000	202	917	1	4	6	0	2000
120	1	3	3	6	1	2000	202	1172	2	3	2	1	2000
120	1	4	3	4	0	2000	201	1232	NoChange	3	6	1	2000
120	1	5	1	2	1	2000	202	778	19	3	4	0	2000
120	1	6	2	4	1	2000	211	1103	1	1	2	1	2000
120	1	7	1	6	0	2000	201	1006	NoChange	2	4	1	2000
120	1	8	2	6	1	2000	211	1529	2	1	6	0	2000
120	1	9	3	4	1	2000	211	720	3	2	6	1	2000
120	1	10	4	6	1	2000	202	983	1	3	4	1	2000
120	1	11	2	6	0	2000	212	907	NoChange	4	6	1	2000
120	1	12	1	4	1	2000	202	674	52	2	6	0	2000
120	1	13	2	6	0	2000	201	1082	NoChange	1	4	1	2000
120	1	14	3	4	0	2000	212	970	NoChange	2	6	0	2000
120	1	15	4	4	0	2000	201	783	NoChange	3	4	0	2000
120	1	16	4	2	1	2000	202	619	2	4	4	0	2000
120	1	17	4	2	0	2000	201	861	NoChange	4	2	1	2000
120	1	18	1	6	0	2000	201	934	NoChange	4	2	0	2000
120	1	19	3	4	1	2000	202	588	4	1	6	0	2000
120	1	20	1	4	1	2000	202	936	83	3	4	1	2000
120	1	21	1	2	1	2000	202	494	86	1	4	1	2000
120	1	22	1	6	1	2000	202	598	93	1	2	1	2000
120	1	23	2	6	1	2000	202	761	3	1	6	1	2000
120	1	24	1	4	0	2000	201	783	NoChange	2	6	1	2000
120	1	25	4	6	0	2000	212	874	NoChange	1	4	0	2000
120	1	26	3	6	1	2000	202	1011	5	4	6	0	2000
120	1	27	2	4	1	2000	202	798	4	3	6	1	2000
120	1	28	3	2	0	2000	201	722	NoChange	2	4	1	2000
120	1	29	2	2	0	2000	201	592	NoChange	3	2	0	2000
120	1	30	4	4	1	2000	202	668	3	2	2	0	2000
120	1	31	3	6	0	2000	201	604	NoChange	4	4	1	2000
120	1	32	4	4	0	2000	201	583	NoChange	3	6	0	2000
120	1	33	2	4	0	2000	201	803	NoChange	4	4	0	2000
120	1	34	3	2	0	2000	201	534	NoChange	2	4	0	2000
120	1	35	4	2	1	2000	202	820	4	3	2	0	2000
120	1	36	4	2	0	2000	201	463	NoChange	4	2	1	2000
120	1	37	3	6	0	2000	212	664	NoChange	4	2	0	2000
120	1	38	2	2	1	2000	202	657	5	3	6	0	2000
120	1	39	2	4	0	2000	201	1034	NoChange	2	2	1	2000
120	1	40	4	6	1	2000	202	564	5	2	4	0	2000
120	1	41	1	2	0	2000	201	761	NoChange	4	6	1	2000
120	1	42	1	2	0	2000	201	614	NoChange	1	2	0	2000
120	1	43	2	2	1	2000	211	3473	6	1	2	0	2000
120	1	44	1	4	0	2000	212	1995	NoChange	2	2	1	2000
120	1	45	4	4	1	2000	202	567	6	1	4	0	2000
120	1	46	3	2	1	2000	211	612	6	4	4	1	2000
120	1	47	2	2	0	2000	201	479	NoChange	3	2	1	2000
120	1	48	1	6	1	2000	202	663	180	2	2	0	2000
120	2	1	3	6	0	2000	201	912	NoChange	0	0	0	
120	2	2	2	2	1	2000	202	584	7	3	6	0	2000
120	2	3	1	6	0	2000	212	851	NoChange	2	2	1	2000
120	2	4	2	2	0	2000	201	621	NoChange	1	6	0	2000
120	2	5	1	4	0	2000	201	791	NoChange	2	2	0	2000
120	2	6	4	2	1	2000	202	723	7	1	4	0	2000
120	2	7	1	2	1	2000	202	737	203	4	2	1	2000
120	2	8	4	6	0	2000	212	519	NoChange	1	2	1	2000
120	2	9	3	2	0	2000	201	422	NoChange	4	6	0	2000
120	2	10	4	2	1	2000	202	664	8	3	2	0	2000
120	2	11	4	2	0	2000	201	625	NoChange	4	2	1	2000
120	2	12	4	6	1	2000	202	692	9	4	2	0	2000
120	2	13	2	2	1	2000	211	4660	8	4	6	1	2000
120	2	14	2	6	0	2000	201	958	NoChange	2	2	1	2000
120	2	15	3	6	1	2000	211	531	7	2	6	0	2000
120	2	16	3	2	1	2000	202	706	8	3	6	1	2000
120	2	17	2	4	0	2000	212	833	NoChange	3	2	1	2000
120	2	18	4	6	0	2000	201	835	NoChange	2	4	0	2000
120	2	19	3	2	1	2000	211	557	9	4	6	0	2000
120	2	20	2	6	1	2000	202	498	9	3	2	1	2000
120	2	21	1	4	1	2000	202	834	253	2	6	1	2000
120	2	22	2	4	1	2000	202	619	10	1	4	1	2000
120	2	23	1	4	1	2000	202	942	261	2	4	1	2000
120	2	24	4	4	1	2000	202	692	10	1	4	1	2000
120	2	25	1	4	0	2000	201	1052	NoChange	4	4	1	2000
120	2	26	3	4	1	2000	202	621	10	1	4	0	2000
120	2	27	3	6	0	2000	212	855	NoChange	3	4	1	2000
120	2	28	4	6	1	2000	202	560	11	3	6	0	2000
120	2	29	1	2	1	2000	202	502	285	4	6	1	2000
120	2	30	3	2	0	2000	201	1053	NoChange	1	2	1	2000
120	2	31	1	6	1	2000	202	462	294	3	2	0	2000
120	2	32	2	4	1	2000	202	471	11	1	6	1	2000
120	2	33	3	4	1	2000	202	967	11	2	4	1	2000
120	2	34	3	6	1	2000	202	676	12	3	4	1	2000
120	2	35	1	6	1	2000	202	701	312	3	6	1	2000
120	2	36	2	6	1	2000	211	972	12	1	6	1	2000
120	2	37	4	2	0	2000	201	601	NoChange	2	6	1	2000
120	2	38	2	6	0	2000	201	652	NoChange	4	2	0	2000
120	2	39	4	4	0	2000	201	1069	NoChange	2	6	0	2000
120	2	40	1	2	0	2000	201	1246	NoChange	4	4	0	2000
120	2	41	3	4	0	2000	201	648	NoChange	1	2	0	2000
120	2	42	1	6	0	2000	212	866	NoChange	3	4	0	2000
120	2	43	2	2	0	2000	201	634	NoChange	1	6	0	2000
120	2	44	2	4	0	2000	201	548	NoChange	2	2	0	2000
120	2	45	3	4	0	2000	201	738	NoChange	2	4	0	2000
120	2	46	4	4	1	2000	202	975	12	3	4	0	2000
120	2	47	4	4	0	2000	201	588	NoChange	4	4	1	2000
120	2	48	1	2	0	2000	201	896	NoChange	4	4	0	2000
120	3	1	1	2	1	2000	202	475	363	0	0	0	
120	3	2	3	4	0	2000	201	1012	NoChange	1	2	1	2000
120	3	3	1	2	0	2000	201	359	NoChange	3	4	0	2000
120	3	4	4	6	1	2000	211	1036	13	1	2	0	2000
120	3	5	4	2	0	2000	201	782	NoChange	4	6	1	2000
120	3	6	2	2	0	2000	201	650	NoChange	4	2	0	2000
120	3	7	3	2	0	2000	201	531	NoChange	2	2	0	2000
120	3	8	1	6	0	2000	201	961	NoChange	3	2	0	2000
120	3	9	4	4	1	2000	202	1599	14	1	6	0	2000
120	3	10	3	6	1	2000	211	618	13	4	4	1	2000
120	3	11	3	6	0	2000	212	797	NoChange	3	6	1	2000
120	3	12	2	2	1	2000	202	552	13	3	6	0	2000
120	3	13	4	2	1	2000	202	525	15	2	2	1	2000
120	3	14	4	4	1	2000	202	692	16	4	2	1	2000
