#subject	block	trial	condition	setsize	change	time	responses	time	Pic	prev_condition	prev_setsize	prev_change	prev_time
106	1	1	4	6	0	2000	212	972	NoChange	0	0	0	
106	1	2	2	2	0	2000	201	672	NoChange	4	6	0	2000
106	1	3	4	4	0	2000	201	720	NoChange	2	2	0	2000
106	1	4	4	4	1	2000	202	623	1	4	4	0	2000
106	1	5	1	2	0	2000	201	921	NoChange	4	4	1	2000
106	1	6	1	2	0	2000	201	647	NoChange	1	2	0	2000
106	1	7	4	2	0	2000	201	449	NoChange	1	2	0	2000
106	1	8	3	4	1	2000	202	706	1	4	2	0	2000
106	1	9	2	4	0	2000	212	1233	NoChange	3	4	1	2000
106	1	10	4	2	0	2000	201	459	NoChange	2	4	0	2000
106	1	11	3	6	1	2000	202	1148	2	4	2	0	2000
106	1	12	2	6	1	2000	202	665	1	3	6	1	2000
106	1	13	4	6	0	2000	201	930	NoChange	2	6	1	2000
106	1	14	2	4	1	2000	202	569	2	4	6	0	2000
106	1	15	3	4	0	2000	201	589	NoChange	2	4	1	2000
106	1	16	1	6	0	2000	212	1264	NoChange	3	4	0	2000
106	1	17	4	6	1	2000	202	601	2	1	6	0	2000
106	1	18	3	2	0	2000	201	652	NoChange	4	6	1	2000
106	1	19	1	2	1	2000	202	549	69	3	2	0	2000
106	1	20	2	4	1	2000	202	954	3	1	2	1	2000
106	1	21	2	2	0	2000	201	687	NoChange	2	4	1	2000
106	1	22	2	6	0	2000	201	638	NoChange	2	2	0	2000
106	1	23	1	4	1	2000	202	520	85	2	6	0	2000
106	1	24	3	4	0	2000	201	566	NoChange	1	4	1	2000
106	1	25	3	6	0	2000	201	2179	NoChange	3	4	0	2000
106	1	26	1	4	0	2000	201	887	NoChange	3	6	0	2000
106	1	27	1	2	1	2000	202	599	102	1	4	0	2000
106	1	28	3	2	1	2000	202	706	3	1	2	1	2000
106	1	29	4	2	1	2000	202	537	3	3	2	1	2000
106	1	30	2	6	0	2000	212	934	NoChange	4	2	1	2000
106	1	31	2	6	1	2000	202	700	4	2	6	0	2000
106	1	32	1	6	1	2000	202	547	122	2	6	1	2000
106	1	33	4	6	1	2000	202	793	4	1	6	1	2000
106	1	34	1	6	1	2000	202	1116	134	4	6	1	2000
106	1	35	3	6	0	2000	201	746	NoChange	1	6	1	2000
106	1	36	3	6	1	2000	211	1280	4	3	6	0	2000
106	1	37	2	4	0	2000	201	633	NoChange	3	6	1	2000
106	1	38	2	2	1	2000	202	682	5	2	4	0	2000
106	1	39	3	4	1	2000	211	906	5	2	2	1	2000
106	1	40	4	4	1	2000	202	905	5	3	4	1	2000
106	1	41	3	2	1	2000	211	848	6	4	4	1	2000
106	1	42	4	2	1	2000	202	618	6	3	2	1	2000
106	1	43	2	2	1	2000	202	476	6	4	2	1	2000
106	1	44	1	4	0	2000	201	820	NoChange	2	2	1	2000
106	1	45	3	2	0	2000	201	847	NoChange	1	4	0	2000
106	1	46	4	4	0	2000	201	616	NoChange	3	2	0	2000
106	1	47	1	6	0	2000	201	522	NoChange	4	4	0	2000
106	1	48	1	4	1	2000	202	736	180	1	6	0	2000
106	2	1	2	6	1	2000	202	1091	7	0	0	0	
106	2	2	2	6	0	2000	212	1419	NoChange	2	6	1	2000
106	2	3	4	4	0	2000	201	2813	NoChange	2	6	0	2000
106	2	4	4	4	1	2000	202	913	7	4	4	0	2000
106	2	5	2	2	0	2000	201	752	NoChange	4	4	1	2000
106	2	6	3	2	0	2000	201	533	NoChange	2	2	0	2000
106	2	7	1	2	0	2000	201	578	NoChange	3	2	0	2000
106	2	8	4	6	0	2000	201	455	NoChange	1	2	0	2000
106	2	9	1	2	0	2000	201	527	NoChange	4	6	0	2000
106	2	10	1	4	1	2000	202	661	217	1	2	0	2000
106	2	11	3	6	1	2000	202	2814	7	1	4	1	2000
106	2	12	1	2	1	2000	202	706	225	3	6	1	2000
106	2	13	3	6	0	2000	201	481	NoChange	1	2	1	2000
106	2	14	2	4	0	2000	201	905	NoChange	3	6	0	2000
106	2	15	4	6	0	2000	201	584	NoChange	2	4	0	2000
106	2	16	3	2	1	2000	202	779	8	4	6	0	2000
106	2	17	2	2	1	2000	202	712	8	3	2	1	2000
106	2	18	3	2	0	2000	201	1407	NoChange	2	2	1	2000
106	2	19	1	4	0	2000	201	882	NoChange	3	2	0	2000
106	2	20	2	6	0	2000	201	634	NoChange	1	4	0	2000
106	2	21	1	4	1	2000	202	732	260	2	6	0	2000
106	2	22	4	2	1	2000	202	786	8	1	4	1	2000
106	2	23	2	4	0	2000	201	485	NoChange	4	2	1	2000
106	2	24	1	6	0	2000	201	669	NoChange	2	4	0	2000
106	2	25	3	2	1	2000	202	773	9	1	6	0	2000
106	2	26	3	4	0	2000	201	673	NoChange	3	2	1	2000
106	2	27	4	4	1	2000	202	594	9	3	4	0	2000
106	2	28	3	6	0	2000	201	1189	NoChange	4	4	1	2000
106	2	29	3	6	1	2000	211	1025	10	3	6	0	2000
106	2	30	3	4	1	2000	202	723	11	3	6	1	2000
106	2	31	1	6	0	2000	201	1234	NoChange	3	4	1	2000
106	2	32	4	2	0	2000	201	651	NoChange	1	6	0	2000
106	2	33	1	6	1	2000	202	756	308	4	2	0	2000
106	2	34	2	6	1	2000	202	617	9	1	6	1	2000
106	2	35	2	4	1	2000	211	1356	10	2	6	1	2000
106	2	36	2	4	1	2000	211	793	11	2	4	1	2000
106	2	37	2	2	1	2000	202	989	12	2	4	1	2000
106	2	38	4	6	1	2000	202	817	10	2	2	1	2000
106	2	39	3	4	0	2000	201	755	NoChange	4	6	1	2000
106	2	40	2	2	0	2000	201	728	NoChange	3	4	0	2000
106	2	41	4	6	1	2000	202	686	11	2	2	0	2000
106	2	42	1	4	0	2000	201	661	NoChange	4	6	1	2000
106	2	43	4	4	0	2000	201	638	NoChange	1	4	0	2000
106	2	44	1	6	1	2000	202	1440	351	4	4	0	2000
106	2	45	3	4	1	2000	211	1321	12	1	6	1	2000
106	2	46	4	2	1	2000	202	1409	12	3	4	1	2000
106	2	47	1	2	1	2000	202	876	358	4	2	1	2000
106	2	48	4	2	0	2000	201	597	NoChange	1	2	1	2000
106	3	1	3	2	0	2000	201	954	NoChange	0	0	0	
106	3	2	3	6	0	2000	201	710	NoChange	3	2	0	2000
106	3	3	1	6	1	2000	202	1541	375	3	6	0	2000
106	3	4	4	2	0	2000	201	1027	NoChange	1	6	1	2000
106	3	5	3	4	0	2000	201	886	NoChange	4	2	0	2000
106	3	6	4	6	1	2000	202	878	13	3	4	0	2000
106	3	7	3	2	1	2000	202	814	13	4	6	1	2000
106	3	8	2	2	0	2000	201	1273	NoChange	3	2	1	2000
106	3	9	4	4	1	2000	202	1274	14	2	2	0	2000
106	3	10	4	2	1	2000	202	811	15	4	4	1	2000
106	3	11	1	2	0	2000	201	589	NoChange	4	2	1	2000
106	3	12	4	4	0	2000	201	729	NoChange	1	2	0	2000
106	3	13	3	4	1	2000	202	1047	14	4	4	0	2000
106	3	14	2	6	0	2000	201	1425	NoChange	3	4	1	2000
106	3	15	4	2	0	2000	201	1172	NoChange	2	6	0	2000
106	3	16	2	4	1	2000	202	1016	13	4	2	0	2000
106	3	17	4	6	0	2000	212	962	NoChange	2	4	1	2000
106	3	18	3	4	0	2000	201	1328	NoChange	4	6	0	2000
106	3	19	2	4	0	2000	201	566	NoChange	3	4	0	2000
106	3	20	4	6	0	2000	201	852	NoChange	2	4	0	2000
106	3	21	1	6	0	2000	201	1092	NoChange	4	6	0	2000
106	3	22	1	6	0	2000	201	1477	NoChange	1	6	0	2000
106	3	23	2	6	0	2000	201	1309	NoChange	1	6	0	2000
106	3	24	4	4	1	2000	202	1116	16	2	6	0	2000
106	3	25	1	4	1	2000	202	906	459	4	4	1	2000
106	3	26	2	2	1	2000	202	961	14	1	4	1	2000
106	3	27	2	6	1	2000	202	1167	15	2	2	1	2000
106	3	28	2	2	0	2000	201	1563	NoChange	2	6	1	2000
106	3	29	3	4	1	2000	202	1088	15	2	2	0	2000
106	3	30	1	2	1	2000	202	1112	473	3	4	1	2000
106	3	31	1	2	1	2000	202	1119	476	1	2	1	2000
106	3	32	4	6	1	2000	202	1142	17	1	2	1	2000
106	3	33	1	4	0	2000	201	1115	NoChange	4	6	1	2000
106	3	34	4	4	0	2000	201	898	NoChange	1	4	0	2000
106	3	35	1	2	0	2000	201	1130	NoChange	4	4	0	2000
106	3	36	2	4	0	2000	201	2192	NoChange	1	2	0	2000
106	3	37	1	4	0	2000	201	740	NoChange	2	4	0	2000
106	3	38	3	2	1	2000	202	1034	16	1	4	0	2000
106	3	39	3	6	0	2000	201	836	NoChange	3	2	1	2000
106	3	40	2	6	1	2000	202	694	16	3	6	0	2000
106	3	41	4	2	1	2000	202	1094	18	2	6	1	2000
106	3	42	3	6	1	2000	211	1710	17	4	2	1	2000
106	3	43	3	2	0	2000	201	686	NoChange	3	6	1	2000
106	3	44	1	6	1	2000	202	742	526	3	2	0	2000
106	3	45	2	4	1	2000	211	2891	17	1	6	1	2000
106	3	46	2	2	1	2000	202	780	18	2	4	1	2000
106	3	47	1	4	1	2000	202	472	535	2	2	1	2000
106	3	48	3	6	1	2000	202	1241	18	1	4	1	2000
106	4	1	1	6	1	2000	202	1047	547	0	0	0	
106	4	2	1	6	1	2000	202	577	554	1	6	1	2000
106	4	3	2	2	1	2000	202	598	19	1	6	1	2000
106	4	4	3	4	0	2000	201	657	NoChange	2	2	1	2000
106	4	5	4	4	1	2000	202	658	19	3	4	0	2000
106	4	6	1	6	0	2000	212	596	NoChange	4	4	1	2000
106	4	7	3	6	1	2000	202	1016	19	1	6	0	2000
106	4	8	4	4	0	2000	201	1043	NoChange	3	6	1	2000
106	4	9	3	6	1	2000	202	533	20	4	4	0	2000
106	4	10	1	2	1	2000	202	498	585	3	6	1	2000
106	4	11	1	4	0	2000	201	882	NoChange	1	2	1	2000
106	4	12	2	6	1	2000	202	780	20	1	4	0	2000
106	4	13	2	4	1	2000	202	905	21	2	6	1	2000
106	4	14	4	2	1	2000	202	640	20	2	4	1	2000
106	4	15	3	4	1	2000	202	617	21	4	2	1	2000
106	4	16	1	2	1	2000	211	1724	604	3	4	1	2000
106	4	17	3	4	1	2000	202	1260	22	1	2	1	2000
106	4	18	1	2	0	2000	201	1101	NoChange	3	4	1	2000
106	4	19	3	2	1	2000	202	1076	23	1	2	0	2000
106	4	20	3	6	0	2000	201	1812	NoChange	3	2	1	2000
106	4	21	2	6	0	2000	201	721	NoChange	3	6	0	2000
106	4	22	4	2	0	2000	201	606	NoChange	2	6	0	2000
106	4	23	1	4	1	2000	202	818	629	4	2	0	2000
106	4	24	4	6	0	2000	201	1220	NoChange	1	4	1	2000
106	4	25	4	4	0	2000	201	1048	NoChange	4	6	0	2000
106	4	26	2	6	0	2000	212	754	NoChange	4	4	0	2000
106	4	27	3	4	0	2000	201	776	NoChange	2	6	0	2000
106	4	28	3	2	0	2000	201	869	NoChange	3	4	0	2000
106	4	29	2	4	0	2000	201	591	NoChange	3	2	0	2000
106	4	30	2	2	0	2000	201	716	NoChange	2	4	0	2000
106	4	31	2	4	1	2000	202	700	22	2	2	0	2000
106	4	32	2	6	1	2000	211	2138	23	2	4	1	2000
106	4	33	2	2	0	2000	201	801	NoChange	2	6	1	2000
106	4	34	4	6	1	2000	202	717	21	2	2	0	2000
106	4	35	4	2	1	2000	202	571	22	4	6	1	2000
106	4	36	1	6	0	2000	212	1488	NoChange	4	2	1	2000
106	4	37	4	4	1	2000	202	689	23	1	6	0	2000
106	4	38	3	2	1	2000	202	738	24	4	4	1	2000
106	4	39	3	6	0	2000	201	816	NoChange	3	2	1	2000
106	4	40	4	2	0	2000	201	587	NoChange	3	6	0	2000
106	4	41	4	6	0	2000	201	1447	NoChange	4	2	0	2000
106	4	42	3	2	0	2000	201	561	NoChange	4	6	0	2000
106	4	43	4	6	1	2000	202	631	24	3	2	0	2000
106	4	44	2	2	1	2000	202	555	24	4	6	1	2000
106	4	45	2	4	0	2000	212	1719	NoChange	2	2	1	2000
106	4	46	1	4	1	2000	202	591	714	2	4	0	2000
106	4	47	1	4	0	2000	201	570	NoChange	1	4	1	2000
106	4	48	1	2	0	2000	201	750	NoChange	1	4	0	2000
106	5	1	3	4	1	2000	202	719	25	0	0	0	
106	5	2	4	6	1	2000	202	502	25	3	4	1	2000
106	5	3	3	6	1	2000	211	918	26	4	6	1	2000
106	5	4	4	4	0	2000	201	893	NoChange	3	6	1	2000
106	5	5	2	6	0	2000	201	1118	NoChange	4	4	0	2000
106	5	6	1	6	0	2000	201	877	NoChange	2	6	0	2000
106	5	7	1	2	0	2000	201	1093	NoChange	1	6	0	2000
106	5	8	3	4	0	2000	201	1301	NoChange	1	2	0	2000
106	5	9	1	2	1	2000	202	750	758	3	4	0	2000
106	5	10	1	2	1	2000	202	738	761	1	2	1	2000
106	5	11	1	6	1	2000	202	825	768	1	2	1	2000
106	5	12	2	2	1	2000	202	620	25	1	6	1	2000
106	5	13	1	4	1	2000	202	967	774	2	2	1	2000
106	5	14	4	2	0	2000	201	1276	NoChange	1	4	1	2000
106	5	15	3	2	1	2000	211	893	27	4	2	0	2000
106	5	16	1	6	1	2000	202	783	784	3	2	1	2000
106	5	17	2	4	0	2000	201	1042	NoChange	1	6	1	2000
106	5	18	1	2	0	2000	201	700	NoChange	2	4	0	2000
106	5	19	3	2	0	2000	201	588	NoChange	1	2	0	2000
106	5	20	2	2	0	2000	201	663	NoChange	3	2	0	2000
106	5	21	1	6	0	2000	201	593	NoChange	2	2	0	2000
106	5	22	3	2	1	2000	202	860	28	1	6	0	2000
106	5	23	4	2	1	2000	202	520	26	3	2	1	2000
106	5	24	4	6	1	2000	202	598	27	4	2	1	2000
106	5	25	4	4	1	2000	202	778	28	4	6	1	2000
106	5	26	3	4	1	2000	211	718	29	4	4	1	2000
106	5	27	3	6	0	2000	212	3166	NoChange	3	4	1	2000
106	5	28	4	6	0	2000	201	812	NoChange	3	6	0	2000
106	5	29	1	4	1	2000	202	576	830	4	6	0	2000
106	5	30	3	4	0	2000	201	613	NoChange	1	4	1	2000
106	5	31	2	6	1	2000	202	695	26	3	4	0	2000
106	5	32	3	2	0	2000	201	640	NoChange	2	6	1	2000
106	5	33	2	2	0	2000	201	675	NoChange	3	2	0	2000
106	5	34	4	4	0	2000	201	772	NoChange	2	2	0	2000
106	5	35	2	4	1	2000	202	674	27	4	4	0	2000
106	5	36	4	6	0	2000	201	1083	NoChange	2	4	1	2000
106	5	37	2	4	0	2000	201	586	NoChange	4	6	0	2000
106	5	38	2	6	1	2000	202	1542	28	2	4	0	2000
106	5	39	4	2	1	2000	202	685	29	2	6	1	2000
106	5	40	2	6	0	2000	201	1638	NoChange	4	2	1	2000
106	5	41	2	2	1	2000	202	640	29	2	6	0	2000
106	5	42	2	4	1	2000	202	539	30	2	2	1	2000
106	5	43	4	2	0	2000	201	801	NoChange	2	4	1	2000
106	5	44	4	4	1	2000	202	686	30	4	2	0	2000
106	5	45	1	4	0	2000	201	957	NoChange	4	4	1	2000
106	5	46	1	4	0	2000	201	731	NoChange	1	4	0	2000
106	5	47	3	6	1	2000	211	728	30	1	4	0	2000
106	5	48	3	6	0	2000	212	1306	NoChange	3	6	1	2000
106	6	1	1	2	0	2000	201	1697	NoChange	0	0	0	
106	6	2	1	6	1	2000	202	815	909	1	2	0	2000
106	6	3	3	6	1	2000	211	1669	31	1	6	1	2000
106	6	4	3	6	0	2000	201	703	NoChange	3	6	1	2000
106	6	5	2	2	0	2000	201	590	NoChange	3	6	0	2000
106	6	6	2	6	0	2000	212	1011	NoChange	2	2	0	2000
106	6	7	1	4	0	2000	201	710	NoChange	2	6	0	2000
106	6	8	3	2	0	2000	201	1805	NoChange	1	4	0	2000
106	6	9	1	2	1	2000	202	905	937	3	2	0	2000
