#subject	block	trial	condition	setsize	change	time	responses	time	Pic	prev_condition	prev_setsize	prev_change	prev_time
118	1	1	1	6	0	2000	201	2097	NoChange	0	0	0	
118	1	2	3	4	1	2000	202	1601	1	1	6	0	2000
118	1	3	2	4	1	2000	211	837	1	3	4	1	2000
118	1	4	4	2	1	2000	202	1207	1	2	4	1	2000
118	1	5	4	2	0	2000	201	978	NoChange	4	2	1	2000
118	1	6	4	4	1	2000	202	1535	2	4	2	0	2000
118	1	7	2	2	0	2000	201	845	NoChange	4	4	1	2000
118	1	8	3	2	0	2000	201	631	NoChange	2	2	0	2000
118	1	9	4	6	0	2000	212	1897	NoChange	3	2	0	2000
118	1	10	1	6	1	2000	202	1049	35	4	6	0	2000
118	1	11	2	4	0	2000	212	1699	NoChange	1	6	1	2000
118	1	12	1	6	1	2000	202	810	46	2	4	0	2000
118	1	13	4	2	0	2000	201	621	NoChange	1	6	1	2000
118	1	14	4	4	0	2000	201	544	NoChange	4	2	0	2000
118	1	15	2	6	1	2000	202	934	2	4	4	0	2000
118	1	16	4	4	1	2000	202	731	3	2	6	1	2000
118	1	17	1	2	1	2000	202	705	63	4	4	1	2000
118	1	18	1	2	0	2000	201	672	NoChange	1	2	1	2000
118	1	19	2	6	0	2000	201	1297	NoChange	1	2	0	2000
118	1	20	2	6	0	2000	201	1049	NoChange	2	6	0	2000
118	1	21	3	4	1	2000	211	618	2	2	6	0	2000
118	1	22	4	2	1	2000	202	965	4	3	4	1	2000
118	1	23	3	6	1	2000	202	817	3	4	2	1	2000
118	1	24	3	6	1	2000	211	2276	4	3	6	1	2000
118	1	25	2	2	0	2000	201	381	NoChange	3	6	1	2000
118	1	26	2	2	1	2000	202	593	3	2	2	0	2000
118	1	27	2	2	1	2000	202	453	4	2	2	1	2000
118	1	28	3	2	0	2000	201	886	NoChange	2	2	1	2000
118	1	29	1	4	1	2000	202	574	102	3	2	0	2000
118	1	30	2	4	1	2000	202	498	5	1	4	1	2000
118	1	31	1	4	1	2000	202	682	110	2	4	1	2000
118	1	32	3	4	0	2000	201	905	NoChange	1	4	1	2000
118	1	33	4	6	1	2000	202	769	5	3	4	0	2000
118	1	34	2	6	1	2000	202	549	6	4	6	1	2000
118	1	35	1	2	0	2000	201	666	NoChange	2	6	1	2000
118	1	36	3	2	1	2000	211	643	5	1	2	0	2000
118	1	37	3	2	1	2000	202	612	6	3	2	1	2000
118	1	38	3	6	0	2000	212	792	NoChange	3	2	1	2000
118	1	39	3	4	0	2000	201	451	NoChange	3	6	0	2000
118	1	40	1	2	1	2000	202	445	141	3	4	0	2000
118	1	41	2	4	0	2000	201	510	NoChange	1	2	1	2000
118	1	42	1	4	0	2000	201	413	NoChange	2	4	0	2000
118	1	43	4	6	1	2000	202	512	6	1	4	0	2000
118	1	44	1	6	0	2000	201	727	NoChange	4	6	1	2000
118	1	45	1	4	0	2000	201	670	NoChange	1	6	0	2000
118	1	46	4	6	0	2000	201	382	NoChange	1	4	0	2000
118	1	47	4	4	0	2000	201	442	NoChange	4	6	0	2000
118	1	48	3	6	0	2000	201	356	NoChange	4	4	0	2000
118	2	1	3	4	0	2000	201	658	NoChange	0	0	0	
118	2	2	4	4	0	2000	201	587	NoChange	3	4	0	2000
118	2	3	1	6	1	2000	202	478	195	4	4	0	2000
118	2	4	2	6	1	2000	211	1295	7	1	6	1	2000
118	2	5	1	2	0	2000	201	599	NoChange	2	6	1	2000
118	2	6	3	4	1	2000	202	938	7	1	2	0	2000
118	2	7	1	2	0	2000	201	536	NoChange	3	4	1	2000
118	2	8	3	4	0	2000	212	910	NoChange	1	2	0	2000
118	2	9	2	2	0	2000	201	469	NoChange	3	4	0	2000
118	2	10	2	4	1	2000	202	549	8	2	2	0	2000
118	2	11	2	4	1	2000	211	986	9	2	4	1	2000
118	2	12	1	2	1	2000	202	566	222	2	4	1	2000
118	2	13	2	6	0	2000	201	1307	NoChange	1	2	1	2000
118	2	14	4	6	0	2000	201	506	NoChange	2	6	0	2000
118	2	15	4	2	0	2000	201	897	NoChange	4	6	0	2000
118	2	16	2	4	0	2000	201	417	NoChange	4	2	0	2000
118	2	17	1	6	0	2000	212	947	NoChange	2	4	0	2000
118	2	18	1	6	1	2000	202	537	253	1	6	0	2000
118	2	19	2	6	1	2000	202	703	10	1	6	1	2000
118	2	20	4	2	1	2000	202	486	7	2	6	1	2000
118	2	21	2	2	0	2000	201	494	NoChange	4	2	1	2000
118	2	22	1	4	0	2000	201	550	NoChange	2	2	0	2000
118	2	23	4	2	0	2000	201	1163	NoChange	1	4	0	2000
118	2	24	4	6	1	2000	202	632	8	4	2	0	2000
118	2	25	1	4	1	2000	202	786	277	4	6	1	2000
118	2	26	1	4	1	2000	202	614	282	1	4	1	2000
118	2	27	3	4	1	2000	202	977	8	1	4	1	2000
118	2	28	1	6	0	2000	201	1309	NoChange	3	4	1	2000
118	2	29	3	6	1	2000	202	957	9	1	6	0	2000
118	2	30	4	4	0	2000	201	1082	NoChange	3	6	1	2000
118	2	31	3	2	0	2000	201	482	NoChange	4	4	0	2000
118	2	32	2	2	1	2000	202	602	11	3	2	0	2000
118	2	33	2	6	0	2000	201	1461	NoChange	2	2	1	2000
118	2	34	3	6	0	2000	201	614	NoChange	2	6	0	2000
118	2	35	4	2	1	2000	202	449	9	3	6	0	2000
118	2	36	3	2	1	2000	211	882	10	4	2	1	2000
118	2	37	2	2	1	2000	202	754	12	3	2	1	2000
118	2	38	3	6	1	2000	202	840	11	2	2	1	2000
118	2	39	1	4	0	2000	201	1753	NoChange	3	6	1	2000
118	2	40	3	2	0	2000	201	743	NoChange	1	4	0	2000
118	2	41	1	2	1	2000	202	941	332	3	2	0	2000
118	2	42	3	6	0	2000	201	1075	NoChange	1	2	1	2000
118	2	43	3	2	1	2000	202	771	12	3	6	0	2000
