#subject	block	trial	condition	change	responses	time	prev_condition	prev_change	color
106	1	1	4	0	201	1248	0	0	7
106	1	2	6	0	201	858	4	0	8
106	1	3	2	1	202	625	6	0	7
106	1	4	8	0	201	2164	2	1	8
106	1	5	2	0	201	872	8	0	2
106	1	6	4	0	201	993	2	0	6
106	1	7	4	0	201	580	4	0	5
106	1	8	4	1	202	816	4	0	2
106	1	9	6	0	201	1202	4	1	2
106	1	10	4	1	202	773	6	0	4
106	1	11	2	0	201	864	4	1	3
106	1	12	8	1	202	1553	2	0	4
106	1	13	4	0	201	1007	8	1	6
106	1	14	8	0	212	3217	4	0	4
106	1	15	6	1	202	1435	8	0	6
106	1	16	2	0	201	789	6	1	2
106	1	17	4	1	202	778	2	0	2
106	1	18	8	1	202	1245	4	1	8
106	1	19	2	1	202	631	8	1	4
106	1	20	4	1	202	672	2	1	2
106	1	21	4	0	201	648	4	1	3
106	1	22	2	1	202	1233	4	0	7
106	1	23	2	1	202	1628	2	1	3
106	1	24	2	0	201	613	2	1	7
106	1	25	6	0	201	1336	2	0	3
106	1	26	8	1	202	1205	6	0	8
106	1	27	6	0	201	1080	8	1	4
106	1	28	6	0	201	1017	6	0	2
106	1	29	8	0	201	762	6	0	6
106	1	30	6	0	212	958	8	0	7
106	1	31	4	0	201	2043	6	0	3
106	1	32	2	0	201	604	4	0	6
106	1	33	8	0	212	871	2	0	7
106	1	34	4	1	211	1304	8	0	1
106	1	35	4	1	202	838	4	1	7
106	1	36	6	1	202	904	4	1	3
106	1	37	8	1	202	1517	6	1	6
106	1	38	8	1	202	1316	8	1	7
106	1	39	8	0	212	642	8	1	4
106	1	40	4	0	201	643	8	0	2
106	1	41	6	1	202	772	4	0	8
106	1	42	8	0	212	1320	6	1	7
106	1	43	8	0	201	550	8	0	4
106	1	44	2	1	202	706	8	0	3
106	1	45	8	1	202	1273	2	1	6
106	1	46	4	1	202	728	8	1	5
106	1	47	2	1	202	758	4	1	7
106	1	48	6	0	201	675	2	1	3
106	1	49	2	0	201	611	6	0	4
106	1	50	2	1	202	629	2	0	7
106	1	51	4	0	201	759	2	1	4
106	1	52	8	1	211	2028	4	0	5
106	1	53	6	1	202	758	8	1	8
106	1	54	4	1	202	851	6	1	6
106	1	55	8	0	212	1676	4	1	4
106	1	56	8	1	202	636	8	0	4
106	1	57	2	0	201	541	8	1	5
106	1	58	2	0	212	570	2	0	2
106	1	59	6	1	202	1206	2	0	2
106	1	60	6	1	211	1552	6	1	6
106	1	61	6	0	201	1141	6	1	8
106	1	62	6	1	202	834	6	0	8
106	1	63	2	1	202	932	6	1	7
106	1	64	6	1	202	801	2	1	2
106	1	65	4	0	201	539	6	1	3
106	2	1	8	1	202	881	0	0	2
106	2	2	2	0	201	554	8	1	5
106	2	3	2	1	202	566	2	0	1
106	2	4	8	1	202	1378	2	1	8
106	2	5	4	0	201	790	8	1	8
106	2	6	8	1	202	1450	4	0	7
106	2	7	8	0	201	722	8	1	8
106	2	8	6	1	211	1271	8	0	7
106	2	9	4	0	201	1055	6	1	3
106	2	10	6	0	212	928	4	0	7
106	2	11	4	0	201	741	6	0	6
106	2	12	2	1	202	730	4	0	8
106	2	13	6	1	211	1793	2	1	6
106	2	14	2	0	201	708	6	1	2
106	2	15	6	0	212	1090	2	0	4
106	2	16	2	0	201	745	6	0	1
106	2	17	8	1	202	1214	2	0	4
106	2	18	8	1	202	1337	8	1	5
106	2	19	6	1	202	2630	8	1	8
106	2	20	4	1	202	856	6	1	5
106	2	21	2	0	201	504	4	1	5
106	2	22	4	1	202	655	2	0	2
106	2	23	8	0	201	1062	4	1	7
106	2	24	4	0	201	759	8	0	4
106	2	25	4	1	202	620	4	0	7
106	2	26	4	1	211	598	4	1	7
106	2	27	2	1	202	545	4	1	3
106	2	28	4	1	202	997	2	1	6
106	2	29	6	1	202	736	4	1	6
106	2	30	8	0	201	638	6	1	6
106	2	31	2	0	201	646	8	0	6
106	2	32	6	1	202	1583	2	0	4
106	2	33	6	1	202	1762	6	1	5
106	2	34	6	0	201	774	6	1	5
106	2	35	6	1	202	795	6	0	5
106	2	36	8	1	202	1006	6	1	4
106	2	37	4	1	202	736	8	1	3
106	2	38	6	0	201	589	4	1	1
106	2	39	8	1	202	1152	6	0	4
106	2	40	6	0	201	532	8	1	1
106	2	41	2	1	202	745	6	0	3
106	2	42	6	0	201	879	2	1	3
106	2	43	6	0	201	718	6	0	3
106	2	44	4	1	202	604	6	0	4
106	2	45	4	0	201	894	4	1	3
106	2	46	8	0	212	813	4	0	5
106	2	47	6	0	201	943	8	0	5
106	2	48	8	0	212	676	6	0	5
106	2	49	2	1	202	612	8	0	3
106	2	50	8	0	201	606	2	1	6
106	2	51	8	0	201	704	8	0	4
106	2	52	4	1	202	623	8	0	8
106	2	53	8	1	202	736	4	1	4
106	2	54	2	1	202	733	8	1	6
106	2	55	2	1	202	722	2	1	3
106	2	56	2	0	201	472	2	1	1
106	2	57	2	0	201	551	2	0	4
106	2	58	4	0	212	700	2	0	2
106	2	59	6	1	202	682	4	0	4
106	2	60	2	1	202	569	6	1	1
106	2	61	4	0	201	733	2	1	6
106	2	62	4	0	201	530	4	0	6
106	2	63	2	0	201	800	4	0	8
106	2	64	8	0	212	842	2	0	7
106	2	65	8	1	202	1034	8	0	3
