#subject	block	trial	condition	change	responses	time	prev_condition	prev_change	color
201	1	1	6	0	201	1249	0	0	2
201	1	2	4	0	212	906	6	0	7
201	1	3	8	0	212	1264	4	0	8
201	1	4	8	1	202	1009	8	0	8
201	1	5	6	1	202	956	8	1	1
201	1	6	6	0	201	848	6	1	1
201	1	7	6	0	201	1193	6	0	1
201	1	8	4	1	202	796	6	0	7
201	1	9	2	0	201	783	4	1	2
201	1	10	8	0	212	986	2	0	4
201	1	11	2	0	212	2054	8	0	7
201	1	12	4	1	202	790	2	0	2
201	1	13	6	0	201	1122	4	1	8
201	1	14	2	1	202	912	6	0	2
201	1	15	6	0	212	1022	2	1	1
201	1	16	2	0	201	856	6	0	1
201	1	17	2	1	202	873	2	0	8
201	1	18	2	1	202	720	2	1	5
201	1	19	2	0	201	790	2	1	4
201	1	20	8	1	202	1249	2	0	4
201	1	21	4	0	201	978	8	1	2
201	1	22	4	1	202	1702	4	0	5
201	1	23	4	0	212	949	4	1	7
201	1	24	2	0	201	1249	4	0	3
201	1	25	6	1	202	858	2	0	3
201	1	26	2	0	201	730	6	1	3
201	1	27	2	0	201	1504	2	0	7
201	1	28	4	0	212	903	2	0	6
201	1	29	8	1	211	909	4	0	6
201	1	30	2	0	201	1108	8	1	5
201	1	31	6	0	212	4163	2	0	3
201	1	32	8	0	212	1776	6	0	8
201	1	33	6	1	202	1285	8	0	4
201	1	34	2	1	202	1124	6	1	7
201	1	35	6	1	211	1826	2	1	5
201	1	36	8	1	202	1292	6	1	4
201	1	37	2	1	202	1035	8	1	1
201	1	38	8	0	201	1965	2	1	2
201	1	39	2	1	202	1465	8	0	4
201	1	40	8	1	202	1473	2	1	2
201	1	41	8	1	211	1977	8	1	8
201	1	42	8	0	212	1069	8	1	5
201	1	43	4	1	202	1013	8	0	8
201	1	44	4	1	202	1008	4	1	2
201	1	45	8	1	202	1130	4	1	4
201	1	46	4	1	211	1848	8	1	7
201	1	47	6	1	211	1705	4	1	6
201	1	48	6	1	202	1272	6	1	1
201	1	49	4	1	202	2064	6	1	6
201	1	50	8	0	212	1457	4	1	4
201	1	51	8	0	212	922	8	0	7
201	1	52	6	0	212	768	8	0	6
201	1	53	6	1	202	1540	6	0	7
201	1	54	8	0	212	1201	6	1	1
201	1	55	4	0	201	1380	8	0	7
201	1	56	6	1	202	952	4	0	1
201	1	57	4	0	201	796	6	1	2
201	1	58	4	0	201	623	4	0	2
201	1	59	2	1	202	769	4	0	5
201	1	60	4	1	211	1285	2	1	5
201	1	61	2	1	202	772	4	1	8
201	1	62	4	0	212	1192	2	1	3
201	1	63	6	0	201	691	4	0	8
201	1	64	8	1	202	1154	6	0	2
201	1	65	6	0	212	1039	8	1	8
201	2	1	6	1	202	1372	0	0	3
201	2	2	4	1	202	888	6	1	2
201	2	3	2	0	201	823	4	1	5
201	2	4	6	1	202	745	2	0	4
201	2	5	6	0	212	1118	6	1	8
201	2	6	2	1	202	804	6	0	2
201	2	7	8	0	212	942	2	1	6
201	2	8	4	1	202	1028	8	0	6
201	2	9	4	1	202	1254	4	1	8
201	2	10	4	0	212	1574	4	1	3
201	2	11	8	1	202	874	4	0	4
201	2	12	8	1	202	2066	8	1	2
201	2	13	8	0	212	1139	8	1	2
201	2	14	6	0	201	584	8	0	2
201	2	15	6	0	212	1171	6	0	1
201	2	16	4	1	211	1647	6	0	6
201	2	17	6	0	212	1168	4	1	5
201	2	18	8	1	202	1044	6	0	7
201	2	19	2	1	202	702	8	1	5
201	2	20	2	0	201	948	2	1	6
201	2	21	8	0	212	1865	2	0	2
201	2	22	4	0	212	1641	8	0	2
201	2	23	8	0	201	1707	4	0	5
201	2	24	8	0	212	1202	8	0	3
201	2	25	2	0	201	620	8	0	1
201	2	26	8	1	211	1782	2	0	5
201	2	27	2	0	212	1074	8	1	4
201	2	28	2	1	202	802	2	0	4
201	2	29	4	1	202	1100	2	1	1
201	2	30	6	1	211	2115	4	1	5
201	2	31	6	1	211	825	6	1	3
201	2	32	2	0	201	579	6	1	1
201	2	33	4	1	202	935	2	0	4
201	2	34	8	1	211	1068	4	1	2
201	2	35	4	1	202	700	8	1	5
201	2	36	8	0	212	1090	4	1	5
201	2	37	6	1	202	1129	8	0	1
201	2	38	8	0	212	935	6	1	2
201	2	39	8	1	211	1965	8	0	1
201	2	40	4	0	212	1097	8	1	4
201	2	41	4	1	202	832	4	0	6
201	2	42	2	1	202	681	4	1	3
201	2	43	4	0	201	793	2	1	3
201	2	44	4	0	201	860	4	0	3
201	2	45	2	0	201	685	4	0	5
201	2	46	2	0	201	628	2	0	4
201	2	47	4	0	212	1286	2	0	2
201	2	48	6	1	202	1605	4	0	3
201	2	49	2	1	202	776	6	1	6
201	2	50	6	1	202	932	2	1	2
201	2	51	8	1	202	897	6	1	1
201	2	52	6	0	212	824	8	1	5
201	2	53	4	0	201	610	6	0	7
201	2	54	2	1	202	1084	4	0	2
201	2	55	8	1	202	851	2	1	8
201	2	56	6	1	202	948	8	1	5
201	2	57	4	0	201	497	6	1	1
201	2	58	6	0	201	1080	4	0	6
201	2	59	8	0	212	1072	6	0	4
201	2	60	2	1	202	992	8	0	3
201	2	61	2	1	202	667	2	1	6
201	2	62	6	0	201	715	2	1	6
201	2	63	2	0	201	769	6	0	6
201	2	64	6	0	212	957	2	0	1
201	2	65	6	1	202	833	6	0	8
201	3	1	8	1	202	1226	0	0	2
201	3	2	8	0	212	964	8	1	7
201	3	3	6	0	212	1129	8	0	7
201	3	4	6	0	201	551	6	0	3
201	3	5	8	0	201	1579	6	0	8
201	3	6	8	0	212	1047	8	0	1
201	3	7	6	1	202	1656	8	0	5
201	3	8	6	0	201	425	6	1	8
201	3	9	6	1	202	875	6	0	8
201	3	10	6	1	202	1035	6	1	4
201	3	11	8	1	202	916	6	1	7
201	3	12	4	1	202	1330	8	1	4
201	3	13	8	0	201	1160	4	1	6
201	3	14	4	1	202	660	8	0	6
201	3	15	2	0	201	821	4	1	3
201	3	16	2	0	212	1263	2	0	4
201	3	17	6	0	212	1167	2	0	3
201	3	18	2	0	212	1427	6	0	1
201	3	19	8	0	201	821	2	0	6
201	3	20	2	1	202	855	8	0	7
201	3	21	8	0	201	512	2	1	1
201	3	22	2	0	201	902	8	0	8
201	3	23	4	1	202	685	2	0	2
201	3	24	4	1	211	1516	4	1	7
201	3	25	6	0	212	1202	4	1	2
201	3	26	4	1	202	828	6	0	2
201	3	27	4	0	212	2494	4	1	7
201	3	28	8	1	202	918	4	0	8
201	3	29	2	1	202	1908	8	1	7
201	3	30	2	1	202	667	2	1	3
201	3	31	2	0	201	555	2	1	8
201	3	32	4	0	201	991	2	0	7
201	3	33	6	1	202	698	4	0	5
201	3	34	4	1	202	1097	6	1	3
201	3	35	2	1	202	720	4	1	2
201	3	36	6	1	202	1118	2	1	5
201	3	37	2	0	201	908	6	1	6
201	3	38	6	1	202	1362	2	0	3
201	3	39	4	0	201	719	6	1	5
201	3	40	2	1	211	709	4	0	3
201	3	41	4	0	212	1691	2	1	3
201	3	42	8	0	212	1187	4	0	5
201	3	43	8	1	202	974	8	0	8
201	3	44	6	0	201	1170	8	1	5
201	3	45	4	0	212	902	6	0	2
201	3	46	4	1	211	1140	4	0	5
201	3	47	8	1	202	938	4	1	4
201	3	48	4	0	212	1079	8	1	1
201	3	49	4	0	212	1247	4	0	6
201	3	50	6	0	212	1112	4	0	5
201	3	51	8	1	202	911	6	0	6
201	3	52	8	1	202	1261	8	1	5
201	3	53	6	1	202	742	8	1	6
201	3	54	2	1	202	1691	6	1	4
201	3	55	4	1	202	803	2	1	1
201	3	56	6	1	202	741	4	1	8
201	3	57	8	0	212	970	6	1	8
201	3	58	4	0	201	918	8	0	8
201	3	59	2	0	201	612	4	0	2
201	3	60	8	1	202	846	2	0	1
201	3	61	2	0	201	823	8	1	6
201	3	62	2	1	202	1001	2	0	8
201	3	63	6	0	212	980	2	1	1
201	3	64	2	1	202	1000	6	0	6
201	3	65	8	1	202	810	2	1	3
201	4	1	8	0	212	1201	0	0	8
201	4	2	8	0	212	803	8	0	8
201	4	3	2	1	202	766	8	0	2
201	4	4	8	1	202	962	2	1	8
201	4	5	2	1	202	646	8	1	3
201	4	6	2	0	201	679	2	1	6
201	4	7	8	1	202	1135	2	0	3
201	4	8	8	0	201	900	8	1	5
201	4	9	6	0	212	947	8	0	5
201	4	10	4	1	202	832	6	0	3
201	4	11	2	0	201	561	4	1	7
201	4	12	4	1	202	766	2	0	1
201	4	13	4	0	212	1993	4	1	6
201	4	14	4	1	202	749	4	0	2
201	4	15	4	1	202	753	4	1	3
201	4	16	8	0	212	1382	4	1	8
201	4	17	4	0	212	825	8	0	6
201	4	18	2	0	201	787	4	0	4
201	4	19	2	1	202	758	2	0	3
201	4	20	4	1	202	1027	2	1	2
201	4	21	6	0	201	805	4	1	4
201	4	22	2	0	201	967	6	0	5
201	4	23	2	0	201	707	2	0	4
201	4	24	4	0	212	977	2	0	4
201	4	25	8	0	212	1149	4	0	1
201	4	26	6	1	202	1298	8	0	8
201	4	27	4	0	212	1065	6	1	7
201	4	28	6	1	202	1321	4	0	5
201	4	29	2	1	202	719	6	1	4
201	4	30	6	0	212	749	2	1	5
201	4	31	4	0	201	634	6	0	3
201	4	32	6	0	212	1371	4	0	2
201	4	33	6	0	201	1007	6	0	6
201	4	34	6	1	202	1081	6	0	2
201	4	35	4	1	202	921	6	1	4
201	4	36	2	1	202	3423	4	1	8
201	4	37	2	1	202	818	2	1	8
201	4	38	8	0	212	1132	2	1	6
201	4	39	2	0	201	545	8	0	4
201	4	40	8	0	201	1606	2	0	8
201	4	41	4	1	202	713	8	0	2
201	4	42	6	1	202	1439	4	1	2
201	4	43	8	1	211	833	6	1	5
201	4	44	4	0	212	730	8	1	4
201	4	45	4	0	212	800	4	0	3
201	4	46	2	1	202	858	4	0	7
201	4	47	6	1	202	1091	2	1	1
201	4	48	8	0	212	914	6	1	2
201	4	49	8	1	202	968	8	0	2
201	4	50	6	0	201	1084	8	1	6
201	4	51	8	1	202	828	6	0	2
201	4	52	4	1	202	749	8	1	1
201	4	53	8	1	202	2114	4	1	4
201	4	54	8	1	211	2321	8	1	2
201	4	55	2	0	201	879	8	1	3
201	4	56	6	1	202	879	2	0	2
201	4	57	6	0	212	863	6	1	5
201	4	58	2	1	211	816	6	0	6
201	4	59	4	0	201	977	2	1	5
201	4	60	8	1	202	965	4	0	2
201	4	61	6	1	202	593	8	1	1
201	4	62	6	1	202	852	6	1	3
201	4	63	2	0	201	517	6	1	5
201	4	64	6	0	212	1850	2	0	3
201	4	65	8	0	212	2867	6	0	6
