#subject	block	trial	condition	change	responses	time	prev_condition	prev_change	color
212	1	1	2	0	212	1419	0	0	2
212	1	2	4	1	211	1805	2	0	2
212	1	3	8	0	201	1472	4	1	7
212	1	4	2	0	201	968	8	0	3
212	1	5	2	1	202	1411	2	0	8
212	1	6	8	0	201	1446	2	1	5
212	1	7	2	1	202	1120	8	0	4
212	1	8	4	1	211	1062	2	1	4
212	1	9	2	1	202	1782	4	1	7
212	1	10	2	0	201	1346	2	1	6
212	1	11	6	0	212	3319	2	0	4
212	1	12	2	1	211	3334	6	0	2
212	1	13	6	0	201	1836	2	1	2
212	1	14	2	0	201	1086	6	0	3
212	1	15	8	0	212	3117	2	0	2
212	1	16	4	1	202	2060	8	0	4
212	1	17	4	0	201	2837	4	1	2
212	1	18	4	0	201	2663	4	0	3
212	1	19	4	1	202	1776	4	0	8
212	1	20	8	1	211	2436	4	1	7
212	1	21	4	0	201	1462	8	1	7
212	1	22	8	0	212	2182	4	0	2
212	1	23	6	0	201	3122	8	0	8
212	1	24	8	1	211	1889	6	0	2
212	1	25	8	1	202	2128	8	1	1
212	1	26	6	1	211	2247	8	1	6
212	1	27	4	1	202	1776	6	1	8
212	1	28	2	0	201	1389	4	1	6
212	1	29	2	0	201	3752	2	0	1
212	1	30	6	1	202	3358	2	0	6
212	1	31	8	1	202	3459	6	1	6
212	1	32	4	1	202	1517	8	1	5
212	1	33	4	1	211	2331	4	1	2
212	1	34	6	1	211	3449	4	1	3
212	1	35	6	1	202	2299	6	1	6
212	1	36	8	0	201	1202	6	1	2
212	1	37	8	1	202	1652	8	0	7
212	1	38	2	1	202	1221	8	1	4
212	1	39	6	1	211	1807	2	1	5
212	1	40	4	0	201	1146	6	1	4
212	1	41	6	1	202	2359	4	0	2
212	1	42	2	1	202	1181	6	1	8
212	1	43	8	1	211	2089	2	1	8
212	1	44	6	0	212	2280	8	1	1
212	1	45	6	0	201	2649	6	0	7
212	1	46	4	1	202	2450	6	0	7
212	1	47	6	0	201	1091	4	1	7
212	1	48	8	0	201	1402	6	0	5
212	1	49	4	0	201	2541	8	0	7
212	1	50	8	1	202	3843	4	0	7
212	1	51	2	0	201	1581	8	1	4
212	1	52	8	1	202	2673	2	0	2
212	1	53	8	0	212	5346	8	1	7
212	1	54	8	0	201	1329	8	0	4
212	1	55	6	1	202	2487	8	0	6
212	1	56	6	0	212	3871	6	1	5
212	1	57	4	0	212	1927	6	0	4
212	1	58	6	0	201	2958	4	0	2
212	1	59	6	1	211	4443	6	0	1
212	1	60	2	0	201	1694	6	1	3
212	1	61	4	0	212	2205	2	0	1
212	1	62	2	1	202	1320	4	0	3
212	1	63	2	1	202	1566	2	1	1
212	1	64	4	0	201	1082	2	1	4
212	1	65	2	0	201	1594	4	0	6
212	2	1	4	0	201	1019	0	0	6
212	2	2	4	1	202	2797	4	0	6
212	2	3	6	1	211	4113	4	1	2
212	2	4	4	1	211	3465	6	1	3
212	2	5	2	0	201	1545	4	1	2
212	2	6	6	1	202	1407	2	0	7
212	2	7	2	1	202	1162	6	1	7
212	2	8	2	1	202	1230	2	1	5
212	2	9	6	1	211	1808	2	1	2
212	2	10	2	0	201	1675	6	1	5
212	2	11	8	1	202	2051	2	0	5
212	2	12	8	1	211	3348	8	1	1
212	2	13	2	1	202	1714	8	1	6
212	2	14	2	0	201	1033	2	1	8
212	2	15	4	1	211	2034	2	0	1
212	2	16	4	1	202	1995	4	1	8
212	2	17	2	1	202	1383	4	1	7
212	2	18	4	0	201	2018	2	1	1
212	2	19	6	1	202	2037	4	0	3
212	2	20	4	0	201	2462	6	1	8
212	2	21	8	0	201	4080	4	0	2
212	2	22	8	1	202	1865	8	0	2
212	2	23	8	0	212	5409	8	1	4
212	2	24	2	0	201	1141	8	0	6
212	2	25	2	0	201	930	2	0	8
212	2	26	4	0	201	4376	2	0	4
212	2	27	2	0	201	1493	4	0	1
