#subject	block	trial	condition	change	responses	time	prev_condition	prev_change	color
103	1	1	4	1	202	780	0	0	1
103	1	2	4	1	202	785	4	1	6
103	1	3	8	0	212	1540	4	1	2
103	1	4	8	0	201	776	8	0	3
103	1	5	6	1	202	885	8	0	1
103	1	6	2	1	202	2052	6	1	1
103	1	7	4	0	201	805	2	1	7
103	1	8	6	0	201	1103	4	0	3
103	1	9	2	1	202	750	6	0	7
103	1	10	2	0	201	914	2	1	8
103	1	11	6	0	201	1121	2	0	2
103	1	12	4	1	202	887	6	0	5
103	1	13	2	0	201	1023	4	1	5
103	1	14	2	0	201	1305	2	0	2
103	1	15	8	0	212	832	2	0	7
103	1	16	6	0	201	1714	8	0	3
103	1	17	6	1	202	825	6	0	8
103	1	18	8	0	201	786	6	1	2
103	1	19	2	0	201	846	8	0	1
103	1	20	8	1	202	823	2	0	6
103	1	21	4	1	202	858	8	1	7
103	1	22	6	0	201	1042	4	1	2
103	1	23	4	0	201	1348	6	0	3
103	1	24	6	1	202	1112	4	0	6
103	1	25	6	1	202	703	6	1	1
103	1	26	6	0	201	886	6	1	1
103	1	27	8	1	211	1125	6	0	4
103	1	28	2	1	202	746	8	1	2
103	1	29	6	0	212	1695	2	1	5
103	1	30	6	0	201	1303	6	0	5
103	1	31	2	0	201	742	6	0	5
103	1	32	6	1	202	1491	2	0	5
103	1	33	4	0	201	810	6	1	4
103	1	34	2	1	202	805	4	0	3
103	1	35	6	1	202	1399	2	1	2
103	1	36	4	1	202	938	6	1	2
103	1	37	2	1	202	791	4	1	8
103	1	38	8	1	202	1467	2	1	1
103	1	39	6	1	202	1443	8	1	4
103	1	40	2	0	201	1300	6	1	4
103	1	41	4	1	202	2964	2	0	2
103	1	42	8	1	211	1160	4	1	7
103	1	43	2	0	201	974	8	1	6
103	1	44	4	0	201	777	2	0	3
103	1	45	8	0	212	1869	4	0	7
103	1	46	8	1	211	1646	8	0	2
103	1	47	8	1	202	768	8	1	7
103	1	48	8	0	212	3892	8	1	3
103	1	49	4	0	201	796	8	0	3
103	1	50	4	1	202	952	4	0	6
103	1	51	4	0	201	860	4	1	8
103	1	52	8	1	202	829	4	0	5
103	1	53	6	0	201	1119	8	1	5
103	1	54	8	0	212	1053	6	0	4
103	1	55	4	1	202	782	8	0	4
103	1	56	6	1	202	946	4	1	3
103	1	57	8	1	202	1014	6	1	7
103	1	58	4	0	201	1720	8	1	1
103	1	59	4	0	201	1255	4	0	1
103	1	60	2	0	201	976	4	0	2
103	1	61	2	1	202	780	2	0	1
103	1	62	8	0	212	1160	2	1	6
103	1	63	2	1	202	878	8	0	6
103	1	64	2	1	202	1949	2	1	8
103	1	65	4	1	202	698	2	1	2
103	2	1	8	1	202	749	0	0	1
103	2	2	8	1	202	777	8	1	6
103	2	3	4	1	202	837	8	1	6
103	2	4	2	0	201	622	4	1	5
103	2	5	8	0	201	1744	2	0	2
103	2	6	8	0	201	1101	8	0	5
103	2	7	6	1	202	1197	8	0	4
103	2	8	6	0	201	1816	6	1	6
103	2	9	4	1	202	1354	6	0	5
103	2	10	6	0	201	943	4	1	8
103	2	11	2	1	202	1380	6	0	8
103	2	12	2	0	201	1049	2	1	6
103	2	13	6	0	201	1481	2	0	1
103	2	14	2	0	201	907	6	0	5
103	2	15	8	1	202	3305	2	0	4
103	2	16	4	0	201	680	8	1	2
103	2	17	6	0	201	1104	4	0	7
103	2	18	8	0	201	727	6	0	7
103	2	19	2	0	201	789	8	0	6
103	2	20	6	1	202	1841	2	0	6
103	2	21	6	1	202	786	6	1	5
103	2	22	8	0	201	854	6	1	5
103	2	23	2	1	202	751	8	0	1
103	2	24	6	1	202	741	2	1	6
103	2	25	2	0	201	786	6	1	1
103	2	26	2	0	201	829	2	0	6
103	2	27	4	0	201	1103	2	0	2
103	2	28	6	1	202	742	4	0	6
103	2	29	8	1	211	891	6	1	2
103	2	30	6	0	201	1362	8	1	5
103	2	31	8	1	202	895	6	0	2
103	2	32	2	0	201	703	8	1	2
103	2	33	2	1	202	725	2	0	5
103	2	34	6	0	201	955	2	1	2
103	2	35	6	1	202	951	6	0	6
103	2	36	4	0	201	845	6	1	2
103	2	37	2	1	202	1015	4	0	3
103	2	38	2	1	202	817	2	1	7
103	2	39	8	1	202	843	2	1	6
103	2	40	6	1	211	1164	8	1	4
103	2	41	2	1	202	874	6	1	6
103	2	42	4	0	201	715	2	1	3
103	2	43	2	0	201	810	4	0	2
103	2	44	4	1	202	789	2	0	4
103	2	45	4	0	201	1057	4	1	7
103	2	46	4	1	202	905	4	0	2
103	2	47	6	1	202	808	4	1	3
103	2	48	4	1	202	793	6	1	5
103	2	49	8	0	201	933	4	1	7
103	2	50	4	1	202	771	8	0	3
103	2	51	4	1	202	759	4	1	4
103	2	52	2	1	202	771	4	1	2
103	2	53	8	0	201	1008	2	1	5
103	2	54	6	0	212	923	8	0	2
103	2	55	6	0	201	792	6	0	2
103	2	56	4	0	201	739	6	0	4
103	2	57	4	0	212	889	4	0	3
103	2	58	8	0	212	1152	4	0	8
103	2	59	4	0	201	750	8	0	4
103	2	60	8	1	202	842	4	0	8
103	2	61	8	0	201	964	8	1	1
103	2	62	8	1	202	760	8	0	3
103	2	63	2	1	202	734	8	1	4
103	2	64	4	1	202	954	2	1	2
103	2	65	8	1	202	735	4	1	6
103	3	1	4	1	202	691	0	0	6
103	3	2	4	1	202	698	4	1	2
