#subject	block	trial	condition	change	responses	time	prev_condition	prev_change	color
211	1	1	4	1	202	1400	0	0	6
211	1	2	8	1	211	1243	4	1	2
211	1	3	2	0	201	1004	8	1	3
211	1	4	6	0	212	1271	2	0	7
211	1	5	4	0	201	855	6	0	5
211	1	6	4	1	202	1855	4	0	5
211	1	7	6	0	201	1128	4	1	3
211	1	8	8	0	201	1190	6	0	5
211	1	9	4	0	201	1073	8	0	4
211	1	10	4	0	201	1025	4	0	5
211	1	11	2	1	202	1123	4	0	4
211	1	12	8	0	212	2081	2	1	4
211	1	13	4	1	202	2297	8	0	1
211	1	14	4	1	202	1328	4	1	6
211	1	15	6	1	211	1695	4	1	7
211	1	16	6	1	202	1830	6	1	1
211	1	17	8	1	202	1808	6	1	7
211	1	18	4	0	212	2523	8	1	8
211	1	19	8	0	201	1314	4	0	6
211	1	20	6	1	202	1288	8	0	5
211	1	21	8	0	212	2120	6	1	3
211	1	22	8	1	211	1990	8	0	4
211	1	23	8	1	202	1050	8	1	5
211	1	24	8	0	212	2010	8	1	7
211	1	25	2	0	201	1621	8	0	3
211	1	26	2	1	202	1215	2	0	1
211	1	27	2	0	201	809	2	1	1
211	1	28	2	0	201	1812	2	0	3
211	1	29	4	0	201	871	2	0	2
211	1	30	8	1	202	1686	4	0	1
211	1	31	2	1	202	1478	8	1	2
211	1	32	2	1	211	1070	2	1	5
211	1	33	4	0	212	2150	2	1	6
211	1	34	6	0	201	995	4	0	2
211	1	35	6	1	202	1606	6	0	5
211	1	36	2	1	202	1561	6	1	3
211	1	37	8	1	211	2086	2	1	7
211	1	38	4	1	202	1710	8	1	1
211	1	39	8	0	212	1740	4	1	1
211	1	40	8	0	201	1658	8	0	2
211	1	41	6	0	212	2795	8	0	3
211	1	42	2	0	201	671	6	0	3
211	1	43	8	1	202	870	2	0	6
211	1	44	6	1	202	2062	8	1	5
211	1	45	6	0	212	1039	6	1	5
211	1	46	8	1	211	1128	6	0	1
211	1	47	6	0	212	1726	8	1	4
211	1	48	2	1	202	1349	6	0	8
211	1	49	4	1	202	2089	2	1	7
211	1	50	2	0	201	865	4	1	4
211	1	51	8	0	201	1873	2	0	7
211	1	52	2	1	202	817	8	0	5
211	1	53	6	1	202	2435	2	1	3
211	1	54	4	0	212	2437	6	1	3
211	1	55	6	1	202	1182	4	0	7
211	1	56	2	0	201	1034	6	1	7
211	1	57	4	1	202	979	2	0	4
211	1	58	2	1	202	1695	4	1	1
211	1	59	6	0	201	806	2	1	1
211	1	60	6	0	212	2161	6	0	6
211	1	61	4	1	202	2102	6	0	4
211	1	62	4	0	201	957	4	1	2
211	1	63	2	0	201	745	4	0	8
211	1	64	6	1	202	1710	2	0	7
211	1	65	4	1	202	909	6	1	3
211	2	1	8	1	202	1008	0	0	3
211	2	2	2	0	201	763	8	1	5
211	2	3	2	1	202	2175	2	0	6
211	2	4	2	1	202	1995	2	1	4
211	2	5	4	0	212	1143	2	1	7
211	2	6	2	0	201	1748	4	0	7
211	2	7	2	0	201	929	2	0	7
211	2	8	4	0	212	1103	2	0	5
211	2	9	8	0	212	1278	4	0	1
211	2	10	4	1	211	1542	8	0	7
211	2	11	6	0	212	2747	4	1	4
211	2	12	4	1	211	1817	6	0	7
211	2	13	2	1	211	2683	4	1	4
211	2	14	8	0	201	827	2	1	4
211	2	15	2	1	202	1565	8	0	3
211	2	16	2	0	201	1953	2	1	7
211	2	17	8	0	212	2046	2	0	7
211	2	18	2	0	201	880	8	0	7
211	2	19	6	1	202	1024	2	0	6
211	2	20	4	1	202	2025	6	1	3
211	2	21	2	0	201	788	4	1	5
211	2	22	8	1	211	1303	2	0	7
211	2	23	6	0	212	1710	8	1	6
211	2	24	8	1	202	1164	6	0	8
211	2	25	8	0	201	1137	8	1	8
211	2	26	4	0	212	2198	8	0	6
211	2	27	4	1	202	857	4	0	3
211	2	28	4	0	212	2378	4	1	1
211	2	29	6	0	212	1726	4	0	2
211	2	30	2	1	202	1420	6	0	3
211	2	31	6	0	201	1774	2	1	2
211	2	32	4	0	201	827	6	0	1
211	2	33	8	1	202	1236	4	0	4
211	2	34	4	1	202	1798	8	1	8
211	2	35	8	1	202	3105	4	1	5
211	2	36	6	1	211	848	8	1	7
211	2	37	4	0	212	1481	6	1	7
211	2	38	4	0	212	1913	4	0	3
211	2	39	2	1	202	1168	4	0	2
211	2	40	8	1	211	1163	2	1	5
211	2	41	8	1	211	1480	8	1	2
211	2	42	2	1	211	2136	8	1	2
211	2	43	4	1	202	1302	2	1	5
211	2	44	4	1	202	1045	4	1	2
211	2	45	8	0	212	1558	4	1	6
211	2	46	8	0	201	1771	8	0	4
211	2	47	8	1	202	1735	8	0	6
211	2	48	4	0	201	1796	8	1	6
211	2	49	6	1	211	1520	4	0	8
211	2	50	2	1	202	1182	6	1	8
211	2	51	6	1	202	1969	2	1	1
211	2	52	6	1	211	1798	6	1	4
211	2	53	2	0	212	1569	6	1	5
211	2	54	6	0	212	1365	2	0	1
211	2	55	2	0	201	1553	6	0	4
211	2	56	4	1	202	1454	2	0	2
211	2	57	6	1	202	2919	4	1	3
211	2	58	6	0	201	1677	6	1	6
211	2	59	6	1	202	1206	6	0	2
211	2	60	8	0	212	1664	6	1	5
211	2	61	6	0	201	1513	8	0	5
211	2	62	6	0	201	2096	6	0	3
211	2	63	8	0	212	1911	6	0	8
211	2	64	6	1	202	1030	8	0	4
211	2	65	8	1	202	1448	6	1	5
211	3	1	8	0	212	1366	0	0	5
211	3	2	8	1	211	1258	8	0	7
211	3	3	4	1	202	1330	8	1	2
211	3	4	2	1	202	1416	4	1	3
211	3	5	8	1	202	1674	2	1	3
211	3	6	4	0	201	2243	8	1	2
211	3	7	8	1	202	788	4	0	3
211	3	8	6	0	212	1959	8	1	4
211	3	9	4	1	202	1436	6	0	5
211	3	10	6	1	211	1398	4	1	3
211	3	11	6	0	201	857	6	1	3
211	3	12	8	0	201	2258	6	0	4
211	3	13	2	0	201	1731	8	0	4
211	3	14	8	1	202	929	2	0	7
211	3	15	6	1	211	3223	8	1	1
211	3	16	4	0	201	1433	6	1	5
211	3	17	2	0	201	923	4	0	7
211	3	18	4	0	201	665	2	0	2
211	3	19	2	1	202	1769	4	0	2
211	3	20	6	1	202	917	2	1	6
211	3	21	8	1	202	1299	6	1	3
211	3	22	8	1	211	1082	8	1	5
211	3	23	2	1	202	1233	8	1	3
211	3	24	6	0	201	1419	2	1	1
211	3	25	2	1	202	1813	6	0	1
211	3	26	8	0	212	1423	2	1	4
211	3	27	4	0	212	1209	8	0	3
211	3	28	6	0	201	1556	4	0	8
211	3	29	6	0	201	1009	6	0	2
211	3	30	8	1	202	1075	6	0	5
