#subject	block	trial	condition	change	responses	time	prev_condition	prev_change	color
104	1	1	8	1	211	912	0	0	6
104	1	2	2	0	201	294	8	1	6
104	1	3	8	0	212	621	2	0	4
104	1	4	6	1	202	655	8	0	2
104	1	5	2	0	201	343	6	1	3
104	1	6	4	1	202	396	2	0	7
104	1	7	6	1	211	1607	4	1	5
104	1	8	6	1	202	425	6	1	2
104	1	9	2	1	202	403	6	1	6
104	1	10	6	1	202	477	2	1	7
104	1	11	8	1	211	845	6	1	6
104	1	12	6	0	212	438	8	1	1
104	1	13	4	0	212	430	6	0	8
104	1	14	6	1	202	536	4	0	6
104	1	15	4	1	202	549	6	1	4
104	1	16	2	0	201	329	4	1	5
104	1	17	6	1	211	1287	2	0	8
104	1	18	4	0	201	742	6	1	4
104	1	19	8	1	202	347	4	0	6
104	1	20	4	1	202	600	8	1	2
104	1	21	4	1	202	851	4	1	8
104	1	22	8	1	202	859	4	1	5
104	1	23	2	1	202	451	8	1	6
104	1	24	8	0	201	340	2	1	4
104	1	25	2	1	202	617	8	0	4
104	1	26	4	0	201	386	2	1	8
104	1	27	2	1	202	357	4	0	6
104	1	28	4	1	202	489	2	1	8
104	1	29	8	0	212	488	4	1	2
104	1	30	2	0	201	447	8	0	1
104	1	31	2	0	201	568	2	0	7
104	1	32	6	0	212	427	2	0	5
104	1	33	2	0	201	462	6	0	2
104	1	34	4	0	201	398	2	0	6
104	1	35	4	0	212	1657	4	0	8
104	1	36	6	0	201	394	4	0	2
104	1	37	6	0	212	1132	6	0	8
104	1	38	6	1	202	721	6	0	1
104	1	39	8	0	212	911	6	1	7
104	1	40	8	0	212	1013	8	0	5
104	1	41	6	0	212	1031	8	0	8
104	1	42	2	1	202	737	6	0	8
104	1	43	6	0	201	278	2	1	1
104	1	44	4	1	202	510	6	0	8
104	1	45	4	0	201	629	4	1	5
104	1	46	4	1	202	558	4	0	7
104	1	47	6	0	201	539	4	1	7
104	1	48	8	1	202	695	6	0	1
104	1	49	8	1	202	742	8	1	6
104	1	50	6	1	202	715	8	1	7
104	1	51	6	0	201	962	6	1	3
104	1	52	8	0	212	590	6	0	1
104	1	53	8	1	202	433	8	0	7
104	1	54	8	0	201	1610	8	1	3
104	1	55	4	0	201	381	8	0	2
104	1	56	2	0	201	345	4	0	8
104	1	57	2	1	202	333	2	0	4
104	1	58	8	1	202	514	2	1	5
104	1	59	4	0	212	681	8	1	2
104	1	60	8	0	212	504	4	0	2
104	1	61	4	1	202	455	8	0	5
104	1	62	2	1	202	399	4	1	1
104	1	63	2	1	202	353	2	1	6
104	1	64	2	0	201	325	2	1	5
104	1	65	8	1	202	459	2	0	6
104	2	1	4	0	212	414	0	0	1
104	2	2	4	0	201	696	4	0	3
104	2	3	2	1	202	383	4	0	4
104	2	4	8	0	201	1202	2	1	3
104	2	5	2	0	201	364	8	0	4
104	2	6	2	0	201	585	2	0	1
104	2	7	4	1	202	404	2	0	1
104	2	8	6	0	201	814	4	1	8
104	2	9	6	1	202	809	6	0	5
104	2	10	6	0	212	491	6	1	2
104	2	11	8	0	212	386	6	0	1
104	2	12	6	0	212	677	8	0	1
104	2	13	2	1	202	420	6	0	1
104	2	14	2	1	202	502	2	1	2
104	2	15	8	1	202	557	2	1	2
104	2	16	4	1	202	529	8	1	7
104	2	17	2	1	202	423	4	1	5
104	2	18	2	0	201	609	2	1	1
104	2	19	4	0	201	907	2	0	8
104	2	20	6	0	212	745	4	0	7
104	2	21	4	0	212	622	6	0	2
104	2	22	8	1	202	479	4	0	7
104	2	23	4	0	201	335	8	1	5
104	2	24	6	1	202	851	4	0	2
104	2	25	8	1	202	868	6	1	5
104	2	26	6	0	201	844	8	1	8
104	2	27	6	0	201	605	6	0	1
104	2	28	4	1	211	831	6	0	6
104	2	29	4	1	202	474	4	1	4
104	2	30	8	0	201	473	4	1	5
104	2	31	8	1	202	1177	8	0	8
104	2	32	6	1	202	460	8	1	8
104	2	33	6	1	202	532	6	1	8
104	2	34	4	1	202	482	6	1	3
104	2	35	4	0	201	745	4	1	5
104	2	36	8	0	212	422	4	0	1
104	2	37	8	0	212	632	8	0	5
104	2	38	4	1	202	545	8	0	8
104	2	39	2	0	201	598	4	1	7
104	2	40	6	1	202	409	2	0	6
104	2	41	2	0	201	523	6	1	6
104	2	42	6	0	201	713	2	0	7
104	2	43	2	0	201	719	6	0	5
104	2	44	8	0	212	597	2	0	5
104	2	45	2	1	202	448	8	0	6
104	2	46	4	1	202	561	2	1	7
104	2	47	8	1	202	549	4	1	5
104	2	48	2	1	202	530	8	1	4
104	2	49	6	1	202	535	2	1	8
104	2	50	4	0	201	660	6	1	8
104	2	51	2	0	201	324	4	0	7
104	2	52	8	1	202	562	2	0	4
104	2	53	2	0	201	606	8	1	2
104	2	54	2	1	202	464	2	0	2
104	2	55	4	0	201	433	2	1	4
104	2	56	4	1	202	770	4	0	1
104	2	57	6	1	202	430	4	1	8
104	2	58	8	0	201	600	6	1	4
104	2	59	6	1	202	497	8	0	3
104	2	60	2	1	202	649	6	1	4
104	2	61	6	0	212	1169	2	1	8
104	2	62	8	1	211	1045	6	0	8
104	2	63	8	1	202	790	8	1	7
104	2	64	8	0	212	641	8	1	8
104	2	65	4	0	212	497	8	0	2
104	3	1	6	1	211	592	0	0	5
104	3	2	6	1	202	459	6	1	7
104	3	3	2	1	202	412	6	1	2
104	3	4	4	1	202	1070	2	1	1
104	3	5	8	0	201	957	4	1	3
104	3	6	4	0	201	482	8	0	3
104	3	7	2	0	201	409	4	0	8
104	3	8	4	1	202	387	2	0	5
104	3	9	2	0	201	454	4	1	5
104	3	10	8	0	201	694	2	0	5
104	3	11	4	1	202	413	8	0	8
104	3	12	6	1	202	424	4	1	1
104	3	13	4	0	201	497	6	1	2
104	3	14	2	1	202	432	4	0	5
104	3	15	6	0	201	481	2	1	3
104	3	16	4	1	202	561	6	0	2
104	3	17	2	1	202	429	4	1	4
104	3	18	4	0	201	487	2	1	5
104	3	19	4	0	201	373	4	0	5
104	3	20	8	0	201	505	4	0	1
104	3	21	2	1	202	584	8	0	7
104	3	22	8	0	212	1594	2	1	7
104	3	23	6	1	202	557	8	0	4
104	3	24	8	0	201	593	6	1	7
104	3	25	8	0	212	597	8	0	7
104	3	26	8	1	202	743	8	0	8
104	3	27	8	0	201	493	8	1	7
104	3	28	6	0	212	675	8	0	4
104	3	29	6	0	201	643	6	0	7
104	3	30	6	1	202	444	6	0	4
104	3	31	2	0	201	356	6	1	5
104	3	32	8	1	202	1418	2	0	3
104	3	33	2	0	201	587	8	1	4
104	3	34	6	1	202	966	2	0	8
104	3	35	4	1	202	714	6	1	5
104	3	36	4	0	212	760	4	1	7
104	3	37	6	0	212	636	4	0	5
104	3	38	4	0	201	334	6	0	4
104	3	39	6	1	211	651	4	0	3
104	3	40	8	1	202	635	6	1	3
104	3	41	2	1	202	412	8	1	6
104	3	42	2	0	201	462	2	1	2
104	3	43	6	0	201	342	2	0	5
104	3	44	8	0	212	468	6	0	2
104	3	45	2	0	201	331	8	0	5
104	3	46	2	0	201	288	2	0	8
104	3	47	4	0	212	447	2	0	6
104	3	48	8	1	202	640	4	0	1
104	3	49	4	0	201	657	8	1	7
104	3	50	4	1	211	385	4	0	7
104	3	51	8	1	202	972	4	1	2
104	3	52	8	1	202	472	8	1	1
104	3	53	4	1	202	415	8	1	3
104	3	54	4	1	202	489	4	1	3
104	3	55	6	0	212	945	4	1	5
104	3	56	2	1	202	446	6	0	4
104	3	57	2	1	202	542	2	1	2
104	3	58	8	1	202	459	2	1	5
104	3	59	6	0	201	1028	8	1	2
104	3	60	2	0	201	285	6	0	5
104	3	61	2	1	202	477	2	0	6
104	3	62	6	1	202	788	2	1	3
104	3	63	6	0	212	672	6	1	8
104	3	64	8	1	202	1103	6	0	4
104	3	65	6	1	211	1269	8	1	4
104	4	1	4	1	202	500	0	0	4
104	4	2	4	0	201	1306	4	1	8
104	4	3	6	0	212	1361	4	0	1
104	4	4	6	0	212	454	6	0	6
104	4	5	8	1	202	527	6	0	4
104	4	6	2	1	202	396	8	1	3
104	4	7	4	0	212	639	2	1	8
104	4	8	8	1	202	896	4	0	2
104	4	9	2	0	201	583	8	1	8
104	4	10	4	0	201	634	2	0	3
104	4	11	2	0	212	500	4	0	5
104	4	12	2	0	201	402	2	0	6
104	4	13	8	0	212	2372	2	0	7
104	4	14	2	0	201	504	8	0	2
104	4	15	8	1	202	543	2	0	2
104	4	16	6	0	201	860	8	1	5
104	4	17	4	0	201	380	6	0	2
104	4	18	2	1	202	433	4	0	6
104	4	19	2	1	202	385	2	1	8
104	4	20	6	1	211	645	2	1	2
104	4	21	6	0	212	422	6	1	7
104	4	22	6	1	202	455	6	0	8
104	4	23	8	1	202	584	6	1	5
104	4	24	6	1	202	491	8	1	4
104	4	25	2	0	201	722	6	1	2
104	4	26	6	1	202	448	2	0	3
104	4	27	6	1	202	522	6	1	4
104	4	28	8	0	201	663	6	1	1
104	4	29	2	1	202	471	8	0	4
104	4	30	8	0	201	1391	2	1	6
104	4	31	6	0	212	914	8	0	4
104	4	32	2	0	201	320	6	0	3
104	4	33	4	1	202	742	2	0	7
104	4	34	2	1	202	451	4	1	8
104	4	35	8	1	202	1043	2	1	3
104	4	36	8	1	211	988	8	1	5
104	4	37	4	0	201	512	8	1	4
104	4	38	4	0	201	437	4	0	5
104	4	39	4	1	202	518	4	0	8
104	4	40	6	0	201	748	4	1	1
104	4	41	2	1	202	393	6	0	7
104	4	42	2	0	201	301	2	1	5
104	4	43	2	1	202	379	2	0	3
104	4	44	4	1	202	599	2	1	2
104	4	45	2	0	201	377	4	1	8
104	4	46	6	0	212	692	2	0	4
104	4	47	8	0	201	2708	6	0	7
104	4	48	6	1	202	715	8	0	5
104	4	49	4	1	202	746	6	1	4
104	4	50	8	0	201	607	4	1	4
104	4	51	4	1	202	457	8	0	8
104	4	52	6	1	202	585	4	1	6
104	4	53	4	0	201	1828	6	1	6
104	4	54	6	1	202	454	4	0	5
104	4	55	2	1	202	391	6	1	1
104	4	56	6	0	201	729	2	1	4
104	4	57	4	1	202	1022	6	0	3
104	4	58	4	1	202	608	4	1	2
104	4	59	8	1	211	986	4	1	3
104	4	60	8	0	201	838	8	1	6
104	4	61	8	0	201	687	8	0	4
104	4	62	4	0	212	1429	8	0	2
104	4	63	8	0	212	496	4	0	4
104	4	64	8	1	211	551	8	0	6
104	4	65	4	1	202	731	8	1	5
