#subject	block	trial	condition	change	responses	time	prev_condition	prev_change	color
205	1	1	2	0	201	1255	0	0	5
205	1	2	6	0	201	991	2	0	4
205	1	3	8	0	201	2891	6	0	8
205	1	4	4	1	202	1426	8	0	6
205	1	5	4	1	202	2653	4	1	8
205	1	6	6	1	202	3526	4	1	4
205	1	7	2	0	201	981	6	1	5
205	1	8	4	1	202	1192	2	0	3
205	1	9	2	0	201	996	4	1	7
205	1	10	6	1	211	1167	2	0	3
205	1	11	8	1	211	6467	6	1	6
205	1	12	8	0	212	3133	8	1	2
205	1	13	6	1	202	1227	8	0	2
205	1	14	4	0	201	3533	6	1	3
205	1	15	2	0	201	1779	4	0	6
205	1	16	8	1	202	1383	2	0	6
205	1	17	2	1	202	971	8	1	2
205	1	18	8	0	201	1615	2	1	4
205	1	19	4	0	201	1377	8	0	7
205	1	20	8	0	212	6133	4	0	4
205	1	21	8	0	201	6828	8	0	1
205	1	22	2	1	202	808	8	0	5
205	1	23	6	1	202	2155	2	1	1
205	1	24	4	1	202	2560	6	1	7
205	1	25	2	1	202	1061	4	1	1
205	1	26	6	0	201	5990	2	1	7
205	1	27	6	1	202	1651	6	0	6
205	1	28	6	1	202	1156	6	1	6
205	1	29	8	0	201	1056	6	1	7
205	1	30	2	0	201	1593	8	0	6
205	1	31	2	1	202	988	2	0	4
205	1	32	2	1	202	879	2	1	1
205	1	33	4	0	201	1511	2	1	4
205	1	34	6	0	201	1614	4	0	8
205	1	35	8	1	211	4969	6	0	5
205	1	36	8	1	202	998	8	1	1
205	1	37	4	0	201	6433	8	1	7
205	1	38	4	1	211	4564	4	0	1
205	1	39	8	0	212	1586	4	1	6
205	1	40	8	1	211	2661	8	0	4
205	1	41	6	1	211	5382	8	1	8
205	1	42	2	1	202	931	6	1	3
205	1	43	4	1	202	1161	2	1	3
205	1	44	4	0	201	6870	4	1	2
205	1	45	2	1	202	992	4	0	3
205	1	46	2	0	201	1099	2	1	6
205	1	47	8	0	201	3138	2	0	5
205	1	48	6	0	201	1272	8	0	2
205	1	49	6	0	201	5680	6	0	5
205	1	50	2	1	202	521	6	0	3
205	1	51	8	1	202	1038	2	1	1
205	1	52	6	0	201	4000	8	1	3
205	1	53	4	1	211	5724	6	0	2
205	1	54	8	1	202	843	4	1	3
205	1	55	2	0	201	916	8	1	8
205	1	56	2	0	201	962	2	0	4
205	1	57	4	0	212	2335	2	0	8
205	1	58	8	1	202	1069	4	0	6
205	1	59	4	1	211	4069	8	1	7
205	1	60	6	0	201	2750	4	1	2
205	1	61	4	0	201	3131	6	0	8
205	1	62	4	0	201	2657	4	0	1
205	1	63	6	1	202	1474	4	0	5
205	1	64	6	0	201	7834	6	1	3
205	1	65	2	0	201	1110	6	0	4
205	2	1	4	1	202	1146	0	0	8
205	2	2	2	0	201	1103	4	1	7
205	2	3	2	1	202	1670	2	0	7
205	2	4	2	0	201	2030	2	1	4
205	2	5	4	0	201	1640	2	0	1
205	2	6	8	0	201	3314	4	0	2
205	2	7	2	1	202	993	8	0	1
205	2	8	8	1	211	14700	2	1	3
205	2	9	6	0	212	5200	8	1	6
205	2	10	2	1	202	788	6	0	1
205	2	11	6	1	211	3143	2	1	5
205	2	12	2	1	202	925	6	1	4
205	2	13	2	1	202	699	2	1	8
205	2	14	4	1	211	2250	2	1	3
205	2	15	8	1	202	923	4	1	3
205	2	16	2	1	202	616	8	1	5
205	2	17	6	0	201	1146	2	1	7
205	2	18	4	0	201	2760	6	0	5
205	2	19	6	1	211	3005	4	0	2
205	2	20	6	1	211	4064	6	1	7
205	2	21	8	0	201	1513	6	1	1
205	2	22	4	0	201	4152	8	0	6
205	2	23	6	0	201	1630	4	0	4
205	2	24	4	1	211	4344	6	0	4
205	2	25	6	1	211	3950	4	1	4
205	2	26	4	0	201	1356	6	1	2
205	2	27	4	1	202	3449	4	0	4
205	2	28	4	0	201	2394	4	1	1
205	2	29	2	1	202	966	4	0	8
205	2	30	8	0	212	6658	2	1	3
205	2	31	4	1	202	965	8	0	1
205	2	32	6	0	201	1905	4	1	3
205	2	33	6	0	212	1184	6	0	5
205	2	34	8	1	211	11428	6	0	5
205	2	35	8	1	202	6969	8	1	3
205	2	36	8	0	212	8263	8	1	1
205	2	37	8	0	201	3066	8	0	2
205	2	38	6	1	202	1074	8	0	3
205	2	39	8	1	211	10523	6	1	6
205	2	40	4	0	212	3420	8	1	1
205	2	41	8	1	202	2063	4	0	4
205	2	42	6	1	202	4152	8	1	2
205	2	43	6	0	201	3790	6	1	2
205	2	44	6	1	202	1018	6	0	8
205	2	45	2	0	201	1316	6	1	1
205	2	46	8	0	201	2482	2	0	2
205	2	47	8	1	202	1786	8	0	6
205	2	48	2	0	201	2597	8	1	6
205	2	49	4	1	202	1729	2	0	5
205	2	50	2	1	202	1119	4	1	6
205	2	51	4	0	201	1941	2	1	2
205	2	52	4	0	201	2107	4	0	6
205	2	53	2	0	201	1330	4	0	2
205	2	54	6	0	201	1464	2	0	7
205	2	55	8	0	212	5289	6	0	5
205	2	56	6	0	201	7530	8	0	8
205	2	57	2	0	201	1521	6	0	7
205	2	58	8	1	211	3583	2	0	5
205	2	59	4	1	202	1020	8	1	2
205	2	60	8	0	201	1182	4	1	3
205	2	61	2	0	201	1009	8	0	7
205	2	62	2	0	201	1083	2	0	5
205	2	63	6	1	202	3091	2	0	1
205	2	64	4	1	202	1363	6	1	6
205	2	65	4	1	202	895	4	1	3
205	3	1	8	1	202	993	0	0	2
205	3	2	2	1	202	708	8	1	8
205	3	3	6	1	202	3315	2	1	1
205	3	4	6	1	202	1258	6	1	6
205	3	5	2	0	201	794	6	1	1
205	3	6	6	0	201	3270	2	0	4
205	3	7	6	0	201	998	6	0	5
205	3	8	6	1	202	1177	6	0	1
205	3	9	8	0	201	2029	6	1	1
205	3	10	2	0	201	1383	8	0	8
205	3	11	2	0	201	1307	2	0	2
205	3	12	2	1	202	1105	2	0	5
205	3	13	8	0	201	1376	2	1	6
205	3	14	4	1	211	4244	8	0	5
205	3	15	8	1	211	4070	4	1	5
205	3	16	2	0	201	1744	8	1	8
205	3	17	4	1	202	1181	2	0	5
205	3	18	4	0	201	1329	4	1	5
205	3	19	2	0	201	1111	4	0	3
