#subject	block	trial	condition	change	responses	time	prev_condition	prev_change	color
215	1	1	4	0	201	1432	0	0	3
215	1	2	4	1	202	1697	4	0	5
215	1	3	2	0	201	769	4	1	2
215	1	4	2	1	202	868	2	0	1
215	1	5	6	1	202	1028	2	1	3
215	1	6	2	1	202	758	6	1	6
215	1	7	8	1	202	899	2	1	3
215	1	8	6	1	202	1041	8	1	3
215	1	9	6	1	202	1194	6	1	5
215	1	10	8	0	201	646	6	1	6
215	1	11	8	0	201	687	8	0	2
215	1	12	4	0	201	1134	8	0	5
215	1	13	8	1	211	2075	4	0	1
215	1	14	8	0	212	1067	8	1	5
215	1	15	4	1	202	1723	8	0	4
215	1	16	8	0	201	1818	4	1	6
215	1	17	6	0	212	924	8	0	1
215	1	18	6	1	202	794	6	0	3
215	1	19	4	1	202	1277	6	1	2
215	1	20	4	0	212	837	4	1	2
215	1	21	4	0	212	710	4	0	5
215	1	22	6	1	202	612	4	0	1
215	1	23	8	1	202	687	6	1	2
215	1	24	8	1	202	1462	8	1	6
215	1	25	2	0	201	943	8	1	2
215	1	26	2	0	201	636	2	0	6
215	1	27	6	0	212	1197	2	0	1
215	1	28	8	0	212	752	6	0	4
215	1	29	2	0	212	789	8	0	1
215	1	30	4	1	202	616	2	0	5
215	1	31	6	0	201	690	4	1	6
215	1	32	4	1	202	769	6	0	3
215	1	33	4	1	202	676	4	1	6
215	1	34	2	1	202	604	4	1	1
215	1	35	2	1	202	575	2	1	7
215	1	36	6	0	201	1514	2	1	7
215	1	37	6	0	201	1057	6	0	7
215	1	38	2	0	201	642	6	0	4
215	1	39	6	1	202	779	2	0	2
215	1	40	2	0	201	943	6	1	7
215	1	41	8	0	201	684	2	0	6
215	1	42	8	1	202	907	8	0	8
215	1	43	4	1	202	737	8	1	1
215	1	44	8	1	211	1799	4	1	6
215	1	45	6	0	212	1009	8	1	5
215	1	46	2	1	202	628	6	0	3
215	1	47	2	0	201	606	2	1	2
215	1	48	4	0	201	1000	2	0	6
215	1	49	2	0	212	1003	4	0	1
215	1	50	8	1	202	1373	2	0	5
215	1	51	2	1	202	593	8	1	5
215	1	52	4	0	201	693	2	1	4
215	1	53	2	1	202	1036	4	0	6
215	1	54	4	1	202	1093	2	1	1
215	1	55	6	1	202	828	4	1	1
215	1	56	4	0	212	2414	6	1	8
215	1	57	6	0	212	849	4	0	3
215	1	58	8	1	202	730	6	0	8
215	1	59	4	0	212	887	8	1	4
215	1	60	8	0	212	831	4	0	2
215	1	61	2	1	202	552	8	0	5
215	1	62	8	0	212	1301	2	1	7
215	1	63	6	1	202	1291	8	0	1
215	1	64	6	0	201	883	6	1	4
215	1	65	4	0	212	754	6	0	3
215	2	1	2	0	201	1240	0	0	3
215	2	2	2	0	201	513	2	0	6
215	2	3	6	1	202	760	2	0	7
215	2	4	4	1	202	676	6	1	8
215	2	5	4	0	201	1404	4	1	3
215	2	6	2	1	202	855	4	0	8
215	2	7	8	1	202	2247	2	1	4
215	2	8	4	1	202	697	8	1	2
215	2	9	2	1	202	736	4	1	6
215	2	10	6	1	211	701	2	1	4
215	2	11	6	1	202	1203	6	1	1
215	2	12	8	0	201	942	6	1	1
215	2	13	4	1	202	915	8	0	2
215	2	14	2	0	201	577	4	1	6
215	2	15	2	1	202	757	2	0	5
215	2	16	4	0	201	705	2	1	7
215	2	17	4	0	201	1064	4	0	3
215	2	18	6	0	212	1209	4	0	1
215	2	19	6	1	202	627	6	0	1
215	2	20	4	0	201	1077	6	1	2
215	2	21	6	1	202	1173	4	0	5
215	2	22	2	0	201	729	6	1	6
215	2	23	8	0	201	711	2	0	2
215	2	24	2	0	212	2013	8	0	8
215	2	25	6	0	201	536	2	0	6
215	2	26	6	0	201	605	6	0	3
215	2	27	4	0	201	615	6	0	1
215	2	28	4	1	202	977	4	0	4
215	2	29	8	1	202	1133	4	1	2
215	2	30	8	0	201	874	8	1	7
215	2	31	8	0	201	770	8	0	5
215	2	32	4	0	201	982	8	0	5
215	2	33	2	0	201	625	4	0	6
215	2	34	4	0	212	1179	2	0	6
215	2	35	8	1	202	991	4	0	7
215	2	36	6	0	201	1690	8	1	1
215	2	37	2	1	202	938	6	0	6
215	2	38	8	0	212	1031	2	1	5
215	2	39	6	0	201	697	8	0	6
215	2	40	8	1	202	1184	6	0	5
215	2	41	8	1	202	1099	8	1	8
215	2	42	4	0	212	890	8	1	4
215	2	43	8	0	212	1769	4	0	3
215	2	44	8	1	202	693	8	0	1
215	2	45	2	0	201	724	8	1	1
215	2	46	8	1	202	954	2	0	2
215	2	47	6	1	211	1623	8	1	4
215	2	48	6	0	201	601	6	1	7
215	2	49	2	0	201	611	6	0	2
215	2	50	4	1	202	846	2	0	7
215	2	51	6	0	201	815	4	1	6
215	2	52	4	1	202	1977	6	0	7
215	2	53	4	1	202	830	4	1	4
215	2	54	8	0	212	903	4	1	1
215	2	55	6	1	202	870	8	0	3
215	2	56	2	1	202	1078	6	1	2
215	2	57	6	0	212	1278	2	1	1
215	2	58	8	0	212	902	6	0	4
215	2	59	2	1	202	804	8	0	8
215	2	60	4	1	202	999	2	1	7
215	2	61	6	1	202	1417	4	1	4
215	2	62	8	1	202	1003	6	1	8
215	2	63	2	1	202	574	8	1	5
215	2	64	2	1	202	658	2	1	8
215	2	65	2	0	201	690	2	1	5
215	3	1	6	1	202	1058	0	0	3
215	3	2	2	1	202	579	6	1	7
215	3	3	8	0	212	1086	2	1	7
215	3	4	2	1	202	702	8	0	6
215	3	5	8	1	202	900	2	1	2
215	3	6	2	1	202	547	8	1	6
215	3	7	2	0	201	856	2	1	8
215	3	8	8	1	202	1104	2	0	1
215	3	9	4	0	201	1279	8	1	6
215	3	10	4	0	212	1031	4	0	3
215	3	11	4	1	202	769	4	0	5
215	3	12	2	0	201	709	4	1	5
215	3	13	2	0	201	523	2	0	5
215	3	14	4	0	201	905	2	0	6
215	3	15	6	1	202	919	4	0	6
215	3	16	6	1	202	853	6	1	8
215	3	17	6	0	212	1126	6	1	3
215	3	18	8	1	202	900	6	0	5
215	3	19	8	1	202	1146	8	1	3
215	3	20	8	0	212	855	8	1	1
215	3	21	8	0	212	880	8	0	4
215	3	22	4	1	211	896	8	0	6
215	3	23	6	0	212	967	4	1	3
215	3	24	8	0	212	859	6	0	2
215	3	25	6	1	202	1147	8	0	4
215	3	26	8	1	202	673	6	1	2
215	3	27	6	0	201	1688	8	1	3
215	3	28	4	1	202	1256	6	0	4
215	3	29	4	0	212	809	4	1	7
215	3	30	8	1	202	899	4	0	2
215	3	31	6	1	211	1578	8	1	8
215	3	32	2	0	201	854	6	1	3
215	3	33	6	1	202	1086	2	0	2
215	3	34	4	1	202	853	6	1	2
215	3	35	2	1	202	910	4	1	3
215	3	36	6	0	212	884	2	1	1
215	3	37	6	0	201	1236	6	0	6
215	3	38	6	1	202	1597	6	0	5
215	3	39	8	0	212	2001	6	1	2
215	3	40	2	0	201	1180	8	0	2
215	3	41	6	0	212	1247	2	0	7
215	3	42	2	0	201	745	6	0	1
215	3	43	8	0	212	1062	2	0	4
215	3	44	6	0	212	1038	8	0	5
215	3	45	4	0	201	1136	6	0	3
215	3	46	2	0	201	597	4	0	6
215	3	47	2	1	202	760	2	0	4
215	3	48	6	1	202	1220	2	1	6
215	3	49	4	0	212	983	6	1	7
215	3	50	6	0	212	906	4	0	1
215	3	51	2	1	202	1056	6	0	5
215	3	52	4	0	201	1105	2	1	2
215	3	53	2	1	202	791	4	0	2
215	3	54	2	1	202	1307	2	1	5
215	3	55	4	1	202	841	2	1	4
215	3	56	8	1	202	826	4	1	7
215	3	57	4	1	202	924	8	1	1
