#subject	block	trial	condition	change	responses	time	prev_condition	prev_change	color
218	1	1	8	1	202	1447	0	0	6
218	1	2	2	0	212	1544	8	1	6
218	1	3	8	1	202	1302	2	0	2
218	1	4	6	0	212	1364	8	1	6
218	1	5	2	1	202	905	6	0	7
218	1	6	6	1	202	1352	2	1	7
218	1	7	8	1	202	2364	6	1	2
218	1	8	2	1	202	841	8	1	7
218	1	9	2	0	201	994	2	1	4
218	1	10	4	1	202	1205	2	0	3
218	1	11	8	1	202	3288	4	1	2
218	1	12	6	1	202	1248	8	1	7
218	1	13	8	0	201	1233	6	1	2
218	1	14	8	0	212	3202	8	0	1
218	1	15	2	0	201	1086	8	0	7
218	1	16	6	1	202	1541	2	0	2
218	1	17	4	1	202	1571	6	1	3
218	1	18	2	1	202	2055	4	1	5
218	1	19	8	0	212	1904	2	1	8
218	1	20	6	0	201	1135	8	0	4
218	1	21	6	0	212	1628	6	0	7
218	1	22	6	1	202	1838	6	0	7
218	1	23	6	0	201	1456	6	1	1
218	1	24	8	1	202	2008	6	0	6
218	1	25	4	1	202	907	8	1	1
218	1	26	6	0	212	5010	4	1	6
218	1	27	4	1	202	1182	6	0	3
218	1	28	4	0	212	1505	4	1	2
218	1	29	2	1	202	824	4	0	1
218	1	30	2	1	202	786	2	1	6
218	1	31	6	0	212	1837	2	1	6
218	1	32	4	0	201	1591	6	0	4
218	1	33	2	0	201	1322	4	0	2
218	1	34	6	0	212	1664	2	0	1
218	1	35	2	0	201	1089	6	0	2
218	1	36	2	0	201	1064	2	0	3
218	1	37	2	1	202	769	2	0	6
218	1	38	4	0	212	1548	2	1	3
218	1	39	8	0	212	2433	4	0	2
218	1	40	6	1	202	2611	8	0	8
218	1	41	2	1	202	974	6	1	1
218	1	42	4	1	202	3570	2	1	2
218	1	43	8	0	201	1687	4	1	2
218	1	44	4	1	202	2135	8	0	5
218	1	45	4	1	202	2676	4	1	8
218	1	46	2	0	201	1645	4	1	3
218	1	47	4	0	201	1638	2	0	6
218	1	48	4	0	212	1456	4	0	5
218	1	49	6	1	202	2545	4	0	8
218	1	50	6	1	202	2822	6	1	2
218	1	51	4	0	201	905	6	1	6
218	1	52	6	0	212	1935	4	0	3
218	1	53	8	0	212	1781	6	0	4
218	1	54	8	1	202	2425	8	0	6
218	1	55	8	1	202	2604	8	1	4
218	1	56	4	0	201	951	8	1	4
218	1	57	4	1	202	1035	4	0	7
218	1	58	6	1	202	1437	4	1	2
218	1	59	2	0	201	758	6	1	3
218	1	60	8	0	212	1091	2	0	1
218	1	61	2	1	202	1074	8	0	2
218	1	62	8	1	202	4338	2	1	8
218	1	63	8	0	212	1728	8	1	6
218	1	64	4	0	212	3007	8	0	6
218	1	65	8	1	202	12194	4	0	5
218	2	1	6	1	202	1409	0	0	1
218	2	2	6	1	202	1556	6	1	1
218	2	3	8	1	211	1177	6	1	5
218	2	4	4	0	212	2805	8	1	4
218	2	5	8	1	202	1144	4	0	2
218	2	6	6	1	202	1077	8	1	2
218	2	7	8	0	212	1325	6	1	7
218	2	8	8	0	201	1427	8	0	5
218	2	9	2	1	202	1045	8	0	4
218	2	10	8	0	212	3687	2	1	4
218	2	11	4	0	212	1223	8	0	8
218	2	12	2	0	201	1073	4	0	5
218	2	13	6	1	202	1049	2	0	5
218	2	14	2	1	202	977	6	1	4
218	2	15	8	1	202	1669	2	1	5
218	2	16	2	1	202	861	8	1	8
218	2	17	2	0	201	966	2	1	7
218	2	18	8	0	212	1562	2	0	2
218	2	19	4	1	202	3295	8	0	3
218	2	20	4	1	202	2263	4	1	5
218	2	21	8	1	202	2144	4	1	8
218	2	22	8	0	201	3781	8	1	8
218	2	23	2	0	201	1386	8	0	1
218	2	24	4	1	202	1069	2	0	6
218	2	25	8	0	212	1797	4	1	8
218	2	26	6	1	202	3369	8	0	1
218	2	27	6	0	212	1677	6	1	8
218	2	28	2	1	202	1078	6	0	3
218	2	29	4	0	201	1414	2	1	1
218	2	30	6	1	202	4536	4	0	8
218	2	31	2	0	201	2967	6	1	1
218	2	32	4	0	212	3124	2	0	4
218	2	33	6	0	201	1250	4	0	1
218	2	34	6	1	202	3891	6	0	2
218	2	35	4	0	201	3731	6	1	1
218	2	36	8	0	212	4418	4	0	3
218	2	37	8	1	202	1165	8	0	5
218	2	38	4	1	202	865	8	1	1
218	2	39	6	0	212	1537	4	1	2
218	2	40	8	1	202	2310	6	0	4
218	2	41	8	1	202	1173	8	1	3
218	2	42	6	0	212	3345	8	1	5
218	2	43	2	0	201	903	6	0	5
218	2	44	8	1	202	1990	2	0	3
218	2	45	2	0	201	2017	8	1	6
218	2	46	2	0	201	1332	2	0	1
218	2	47	2	1	202	1201	2	0	5
218	2	48	4	1	202	1404	2	1	2
218	2	49	2	1	202	1062	4	1	1
218	2	50	6	0	212	1639	2	1	7
218	2	51	4	0	212	3265	6	0	4
218	2	52	4	1	202	1049	4	0	4
218	2	53	2	0	201	898	4	1	6
218	2	54	6	0	212	2441	2	0	5
218	2	55	6	0	212	1523	6	0	2
218	2	56	8	0	212	4593	6	0	4
218	2	57	6	0	201	1126	8	0	3
218	2	58	4	1	202	1243	6	0	5
218	2	59	6	1	202	1789	4	1	2
218	2	60	4	1	202	1840	6	1	7
218	2	61	4	0	212	2002	4	1	1
218	2	62	4	0	201	949	4	0	2
218	2	63	2	1	202	1001	4	0	1
218	2	64	2	1	202	1196	2	1	5
218	2	65	6	1	202	2023	2	1	1
218	3	1	8	0	212	3190	0	0	3
218	3	2	4	0	212	2418	8	0	6
218	3	3	2	1	202	1349	4	0	1
218	3	4	4	0	201	1057	2	1	2
218	3	5	8	1	202	2514	4	0	4
218	3	6	2	0	201	873	8	1	4
218	3	7	4	1	202	1161	2	0	1
218	3	8	6	0	201	1333	4	1	2
218	3	9	2	1	202	1275	6	0	6
218	3	10	8	0	212	1691	2	1	3
218	3	11	6	0	212	1426	8	0	1
218	3	12	4	0	201	1108	6	0	1
218	3	13	6	1	202	1443	4	0	8
218	3	14	6	1	202	1404	6	1	8
218	3	15	8	0	201	1911	6	1	4
218	3	16	8	0	212	4230	8	0	3
218	3	17	8	1	202	1617	8	0	3
218	3	18	4	1	202	2203	8	1	6
218	3	19	8	1	202	2950	4	1	7
218	3	20	4	0	201	1140	8	1	4
218	3	21	6	0	201	1457	4	0	2
218	3	22	8	0	212	2386	6	0	3
218	3	23	2	0	201	1790	8	0	6
218	3	24	6	0	201	1033	2	0	8
218	3	25	8	1	202	1786	6	0	2
218	3	26	6	0	201	3494	8	1	8
218	3	27	4	1	202	2390	6	0	2
218	3	28	2	0	201	2082	4	1	7
218	3	29	2	0	201	841	2	0	5
218	3	30	8	1	202	1419	2	0	2
218	3	31	6	1	202	2269	8	1	6
218	3	32	2	0	201	933	6	1	2
218	3	33	2	1	202	1362	2	0	4
218	3	34	6	0	212	1727	2	1	6
218	3	35	2	0	201	1901	6	0	5
218	3	36	6	1	202	1788	2	0	7
218	3	37	8	1	202	1640	6	1	4
218	3	38	2	1	202	1137	8	1	4
218	3	39	4	1	202	1966	2	1	2
218	3	40	4	0	212	2283	4	1	4
218	3	41	2	0	201	986	4	0	6
218	3	42	8	0	212	1798	2	0	5
218	3	43	4	1	202	3801	8	0	4
218	3	44	8	0	212	2117	4	1	8
218	3	45	2	1	202	1179	8	0	2
218	3	46	6	1	202	1207	2	1	5
218	3	47	4	0	212	1570	6	1	4
218	3	48	4	0	201	1150	4	0	5
218	3	49	4	1	202	1099	4	0	7
218	3	50	4	1	211	4377	4	1	2
218	3	51	2	1	202	1158	4	1	8
218	3	52	2	0	201	1163	2	1	1
218	3	53	4	0	212	1536	2	0	2
218	3	54	8	0	201	1349	4	0	1
218	3	55	6	1	202	1562	8	0	4
218	3	56	6	0	201	1526	6	1	5
218	3	57	6	0	212	5069	6	0	4
218	3	58	6	1	202	1390	6	0	1
218	3	59	4	1	202	4066	6	1	2
218	3	60	6	1	202	1171	4	1	6
218	3	61	2	1	202	479	6	1	1
218	3	62	2	1	202	958	2	1	5
218	3	63	8	1	202	1795	2	1	7
218	3	64	8	1	202	1310	8	1	6
218	3	65	8	0	201	893	8	1	7
218	4	1	2	0	201	2712	0	0	4
218	4	2	2	1	202	1119	2	0	3
218	4	3	6	1	211	2197	2	1	3
218	4	4	8	1	202	2552	6	1	8
218	4	5	4	0	201	1534	8	1	5
218	4	6	2	1	202	2171	4	0	8
218	4	7	6	0	212	3111	2	1	6
218	4	8	8	1	202	1231	6	0	6
218	4	9	4	1	202	1985	8	1	7
218	4	10	4	1	202	1548	4	1	4
218	4	11	8	0	201	1553	4	1	8
218	4	12	6	0	201	1094	8	0	4
218	4	13	4	0	212	1381	6	0	2
218	4	14	2	0	201	1777	4	0	5
218	4	15	8	1	202	1141	2	0	1
218	4	16	8	0	212	3379	8	1	6
218	4	17	2	0	201	1072	8	0	2
218	4	18	8	0	212	2327	2	0	8
218	4	19	2	1	202	1158	8	0	3
218	4	20	8	0	212	2106	2	1	2
218	4	21	6	1	202	1801	8	0	4
218	4	22	4	0	212	1556	6	1	1
218	4	23	4	1	202	1601	4	0	5
218	4	24	2	1	202	1028	4	1	3
218	4	25	4	1	202	1838	2	1	4
218	4	26	6	0	201	1095	4	1	3
218	4	27	8	0	212	1151	6	0	7
218	4	28	4	1	211	1147	8	0	1
218	4	29	6	1	202	1817	4	1	7
218	4	30	4	1	211	5107	6	1	1
218	4	31	8	1	211	1483	4	1	3
218	4	32	8	1	202	2114	8	1	5
218	4	33	6	1	202	2121	8	1	3
218	4	34	2	1	202	1583	6	1	1
218	4	35	2	1	202	978	2	1	4
218	4	36	8	1	202	1118	2	1	3
218	4	37	2	0	201	1212	8	1	3
218	4	38	6	1	202	1287	2	0	8
218	4	39	6	1	202	1526	6	1	6
218	4	40	8	0	212	3516	6	1	7
218	4	41	8	0	201	1203	8	0	3
218	4	42	4	0	201	1030	8	0	3
218	4	43	6	0	201	1736	4	0	2
218	4	44	6	0	212	1957	6	0	2
218	4	45	6	1	202	1314	6	0	6
218	4	46	6	0	212	3241	6	1	6
218	4	47	2	1	202	3739	6	0	1
218	4	48	4	0	212	3657	2	1	4
