#subject	block	trial	condition	change	responses	time	prev_condition	prev_change	color
108	1	1	8	0	201	627	0	0	5
108	1	2	8	1	202	581	8	0	8
108	1	3	8	1	202	593	8	1	5
108	1	4	2	0	201	548	8	1	1
108	1	5	6	1	202	752	2	0	8
108	1	6	2	0	201	541	6	1	2
108	1	7	6	0	212	594	2	0	1
108	1	8	8	0	212	677	6	0	8
108	1	9	6	1	202	492	8	0	3
108	1	10	8	1	211	827	6	1	4
108	1	11	6	0	201	893	8	1	2
108	1	12	4	0	201	524	6	0	3
108	1	13	6	0	212	641	4	0	2
108	1	14	8	1	202	930	6	0	7
108	1	15	6	1	202	656	8	1	5
108	1	16	8	0	212	648	6	1	7
108	1	17	4	1	202	553	8	0	3
108	1	18	4	1	202	510	4	1	1
108	1	19	2	1	202	540	4	1	6
108	1	20	8	1	202	761	2	1	4
108	1	21	4	0	201	533	8	1	7
108	1	22	4	0	201	738	4	0	5
108	1	23	2	1	202	519	4	0	2
108	1	24	2	0	201	621	2	1	2
108	1	25	4	1	202	606	2	0	2
108	1	26	2	0	201	784	4	1	6
108	1	27	2	0	201	515	2	0	8
108	1	28	2	1	202	466	2	0	7
108	1	29	2	1	202	457	2	1	7
108	1	30	8	0	212	537	2	1	1
108	1	31	4	0	212	542	8	0	8
108	1	32	4	1	202	403	4	0	7
108	1	33	4	0	201	525	4	1	8
108	1	34	6	1	202	491	4	0	2
108	1	35	6	0	212	594	6	1	8
108	1	36	2	1	202	549	6	0	3
108	1	37	6	1	202	713	2	1	3
108	1	38	4	0	201	727	6	1	6
108	1	39	2	0	201	373	4	0	6
108	1	40	8	1	202	560	2	0	5
108	1	41	8	0	212	597	8	1	1
108	1	42	6	0	212	488	8	0	4
108	1	43	6	1	211	775	6	0	4
108	1	44	4	1	202	490	6	1	6
108	1	45	8	0	212	529	4	1	5
108	1	46	2	0	201	415	8	0	4
108	1	47	4	0	201	649	2	0	2
108	1	48	8	1	202	633	4	0	8
108	1	49	4	1	202	474	8	1	6
108	1	50	8	1	202	554	4	1	6
108	1	51	2	1	202	406	8	1	5
108	1	52	6	0	201	520	2	1	6
108	1	53	6	0	212	806	6	0	3
108	1	54	4	1	202	496	6	0	2
108	1	55	6	1	211	631	4	1	6
108	1	56	6	1	202	688	6	1	8
108	1	57	2	1	202	479	6	1	3
108	1	58	4	1	202	447	2	1	6
108	1	59	6	0	212	504	4	1	1
108	1	60	2	0	201	518	6	0	1
108	1	61	8	0	212	532	2	0	2
